#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05T4Q,80.49138542385,-69.47602373727,DIAZ-MILLER,2,53854.2519,53854.25588,343,UNIDENTIFIED,,53854.59082,10753,2001281482,POLYGON GSC1  80.60967653 -69.47939503  80.49873031 -69.43701508  80.37358851 -69.47312222  80.48480665 -69.51360516  80.60967653 -69.47939503,http://archive.stsci.edu/hst/previews/J9IT/J9IT05T4Q_256.jpg,2000299562,DADS,5389.95237102617
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05T8Q,80.4912617325,-69.477496238,DIAZ-MILLER,2,53854.26375,53854.26773,343,UNIDENTIFIED,,53854.7002,10753,2001281986,POLYGON GSC1  80.60956081 -69.48086759  80.49860716 -69.43848758  80.37345661 -69.47459465  80.48468221 -69.51507765  80.60956081 -69.48086759,http://archive.stsci.edu/hst/previews/J9IT/J9IT05T8Q_256.jpg,2000300103,DADS,5391.26026910105
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HOQ,80.49997740957,-69.49895569574,DIAZ-MILLER,2,53850.98125,53850.98523,343,UNIDENTIFIED,,53851.36205,10753,2001287680,POLYGON GSC1  80.61839676 -69.50232116  80.50731493 -69.45994668  80.38205355 -69.49605989  80.49340686 -69.53653744  80.61839676 -69.50232116,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HOQ_256.jpg,2000305809,DADS,5397.95959435192
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT05T6Q,80.48243057832,-69.47421163645,DIAZ-MILLER,2,53854.25781,53854.26179,343,UNIDENTIFIED,,53854.697,10753,2001287687,POLYGON GSC1  80.60071013 -69.47758898  80.48979088 -69.43520335  80.36464467 -69.47130410  80.47583654 -69.51179272  80.60071013 -69.47758898,http://archive.stsci.edu/hst/previews/J9IT/J9IT05T6Q_256.jpg,2000305816,DADS,5399.5837880328
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HMQ,80.4911360751,-69.49567153511,DIAZ-MILLER,2,53850.97531,53850.97929,343,UNIDENTIFIED,,53851.3589,10753,2001281978,POLYGON GSC1  80.60953567 -69.49904296  80.49848822 -69.45666289  80.37323126 -69.49276980  80.48455085 -69.53325295  80.60953567 -69.49904296,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HMQ_256.jpg,2000300095,DADS,5406.08137805936
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HJQ,80.4910122532,-69.49714403567,DIAZ-MILLER,2,53850.96764,53850.96787,19,UNIDENTIFIED,,53851.65166,10753,2001282609,POLYGON GSC1  80.60941998 -69.50051554  80.49836515 -69.45813539  80.37309937 -69.49424221  80.48442636 -69.53472544  80.60941998 -69.50051554,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HJQ_256.jpg,2000300734,DADS,5407.45455519947
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HKQ,80.4910122532,-69.49714403567,DIAZ-MILLER,2,53850.96946,53850.97344,343,UNIDENTIFIED,,53851.35544,10753,2001287679,POLYGON GSC1  80.60941998 -69.50051554  80.49836515 -69.45813539  80.37309937 -69.49424221  80.48442636 -69.53472544  80.60941998 -69.50051554,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HKQ_256.jpg,2000305808,DADS,5407.45455519947
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06E4Q,80.50183954775,-69.51556617697,DIAZ-MILLER,2,53927.02705,53927.03196,423,UNIDENTIFIED,,53927.18141,10753,2001282619,POLYGON GSC1  80.52315208 -69.55649986  80.61137446 -69.50792106  80.47921307 -69.47492777  80.39637241 -69.52304349  80.52315208 -69.55649986,http://archive.stsci.edu/hst/previews/J9IT/J9IT06E4Q_256.jpg,2000300744,DADS,5411.3255908868
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07D3Q,80.5016997879,-69.51538095503,DIAZ-MILLER,2,53924.96249,53924.9674,423,UNIDENTIFIED,,53925.60759,10753,2001287690,POLYGON GSC1  80.52301187 -69.55631466  80.61123381 -69.50773592  80.47907377 -69.47474253  80.39623352 -69.52285819  80.52301187 -69.55631466,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D3Q_256.jpg,2000305819,DADS,5411.33968415582
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06DZQ,80.49020833333,-69.49836388889,DIAZ-MILLER,2,53927.01087,53927.01125,32,UNIDENTIFIED,,53927.17198,10753,2001287688,POLYGON GSC1  80.51148141 -69.53929901  80.59965950 -69.49072611  80.46762204 -69.45772398  80.38482187 -69.50583421  80.51148141 -69.53929901,http://archive.stsci.edu/hst/previews/J9IT/J9IT06DZQ_256.jpg,2000305817,DADS,5411.36469585116
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06E0Q,80.49020833333,-69.49836388889,DIAZ-MILLER,2,53927.01284,53927.01774,423,UNIDENTIFIED,,53927.17513,10753,2001281987,POLYGON GSC1  80.51148141 -69.53929901  80.59965950 -69.49072611  80.46762204 -69.45772398  80.38482187 -69.50583421  80.51148141 -69.53929901,http://archive.stsci.edu/hst/previews/J9IT/J9IT06E0Q_256.jpg,2000300104,DADS,5411.36469585116
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07CYQ,80.49007274606,-69.49816319096,DIAZ-MILLER,2,53924.94631,53924.94669,32,UNIDENTIFIED,,53925.59818,10753,2001281988,POLYGON GSC1  80.51134537 -69.53909832  80.59952293 -69.49052549  80.46748691 -69.45752326  80.38468722 -69.50563343  80.51134537 -69.53909832,http://archive.stsci.edu/hst/previews/J9IT/J9IT07CYQ_256.jpg,2000300105,DADS,5411.3695703359
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07CZQ,80.49007274606,-69.49816319096,DIAZ-MILLER,2,53924.94828,53924.95318,423,UNIDENTIFIED,,53925.60132,10753,2001287689,POLYGON GSC1  80.51134537 -69.53909832  80.59952293 -69.49052549  80.46748691 -69.45752326  80.38468722 -69.50563343  80.51134537 -69.53909832,http://archive.stsci.edu/hst/previews/J9IT/J9IT07CZQ_256.jpg,2000305818,DADS,5411.3695703359
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HQQ,80.48940432191,-69.49958373841,DIAZ-MILLER,2,53850.98718,53850.99116,343,UNIDENTIFIED,,53851.36521,10753,2001281979,POLYGON GSC1  80.60782518 -69.50295631  80.49676083 -69.46057516  80.37147812 -69.49668083  80.48281478 -69.53716508  80.60782518 -69.50295631,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HQQ_256.jpg,2000300096,DADS,5411.46217461232
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06E8Q,80.47859578289,-69.48116082747,DIAZ-MILLER,2,53927.07626,53927.08117,423,UNIDENTIFIED,,53927.49465,10753,2001282621,POLYGON GSC1  80.49982951 -69.52209738  80.58796334 -69.47353039  80.45604959 -69.44051943  80.37328988 -69.48862417  80.49982951 -69.52209738,http://archive.stsci.edu/hst/previews/J9IT/J9IT06E8Q_256.jpg,2000300746,DADS,5412.15212865824
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07D7Q,80.47846289683,-69.48098514402,DIAZ-MILLER,2,53925.01971,53925.02461,423,UNIDENTIFIED,,53925.61355,10753,2001281484,POLYGON GSC1  80.49969620 -69.52192170  80.58782959 -69.47335478  80.45591712 -69.44034373  80.37315780 -69.48844841  80.49969620 -69.52192170,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D7Q_256.jpg,2000299564,DADS,5412.18180477042
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HSQ,80.48928035835,-69.50105623774,DIAZ-MILLER,2,53850.99303,53850.99701,343,UNIDENTIFIED,,53851.36834,10753,2001282610,POLYGON GSC1  80.60770965 -69.50442895  80.49663804 -69.46204768  80.37134640 -69.49815321  80.48269035 -69.53863758  80.60770965 -69.50442895,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HSQ_256.jpg,2000300735,DADS,5412.84752717413
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02I2Q,80.49800364455,-69.52251579419,DIAZ-MILLER,2,53851.04786,53851.05184,343,UNIDENTIFIED,,53851.78973,10753,2001281475,POLYGON GSC1  80.61655306 -69.52588253  80.50535279 -69.48350685  80.37995020 -69.51961859  80.49142233 -69.56009746  80.61655306 -69.52588253,http://archive.stsci.edu/hst/previews/J9IT/J9IT02I2Q_256.jpg,2000299555,DADS,5420.72433037115
