#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Product Group ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,obsid,distance
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V2B,STAR FORMING REGION;STELLAR CLUSTER,IBY02B020,84.44818136926,-69.186657311,12939,SABBI,3,56450.87111,56450.88701,1298.464661,56451.03499,2012916406,POLYGON 84.44907875 -69.16063509 84.37799616 -69.18347239 84.44775134 -69.21185475 84.5206367 -69.18969494 84.44907875 -69.16063509 84.44907875 -69.16063509,2003851042,4860.16675604789
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V2B,STAR FORMING REGION;STELLAR CLUSTER,IBY02B030,84.44959583333,-69.17881666667,12939,SABBI,3,56450.91263,56450.95025,1598.465576,56451.03574,2012916407,POLYGON 84.4504912 -69.15279443 84.37943567 -69.17563232 84.4491676 -69.20401411 84.52202528 -69.18185371 84.4504912 -69.15279443 84.4504912 -69.15279443,2003851043,4874.56305228924
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY07N010,84.37902527051,-69.08020179685,12939,SABBI,3,56379.39193,56379.46506,2270,56379.60207,2012945844,POLYGON 84.31070703 -69.04669603 84.27032169 -69.10169074 84.42539876 -69.111601 84.46839998 -69.05823758 84.31070703 -69.04669603 84.31070703 -69.04669603,2003880480,4879.70000967902
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1S,STAR FORMING REGION;STELLAR CLUSTER,IBY01S020,84.30488718368,-69.08377675547,12939,SABBI,3,56444.52132,56444.55944,1298.464661,56444.68068,2012916388,POLYGON 84.30578118 -69.05775454 84.23503187 -69.08059163 84.30445837 -69.1089742 84.37700183 -69.08681477 84.30578118 -69.05775454 84.30578118 -69.05775454,2003851024,4879.82862182762
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1S,STAR FORMING REGION;STELLAR CLUSTER,IBY01S030,84.306295,-69.07593611111,12939,SABBI,3,56444.5603,56444.57968,1598.465576,56444.68132,2012916389,POLYGON 84.307187 -69.04991389 84.23646448 -69.07275156 84.30586796 -69.10113356 84.37838402 -69.07897354 84.307187 -69.04991389 84.307187 -69.04991389,2003851025,4896.17734573332
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V2C,STAR FORMING REGION;STELLAR CLUSTER,IBY02C020,84.51824045294,-69.21356286654,12939,SABBI,3,56454.79067,56454.80657,1298.464661,56455.02223,2012916408,POLYGON 84.51913894 -69.18754064 84.44796844 -69.21037792 84.51780989 -69.23876031 84.59078542 -69.21660048 84.51913894 -69.18754064 84.51913894 -69.18754064,2003851044,4898.16640906496
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07J010,84.51954559821,-69.16871880493,12939,SABBI,3,56561.00856,56561.04803,2270,56561.2158,2012945840,POLYGON 84.47874335 -69.13633304 84.42593976 -69.18858713 84.58230373 -69.20366612 84.63206736 -69.14963353 84.47874335 -69.13633304 84.47874335 -69.13633304,2003880476,4906.89446260808
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1T,STAR FORMING REGION;STELLAR CLUSTER,IBY01T020,84.37494669787,-69.11074064435,12939,SABBI,3,56445.75035,56445.76625,1298.464661,56446.66082,2012916390,POLYGON 84.37584096 -69.08471842 84.30500517 -69.10755578 84.37451817 -69.13593809 84.44715038 -69.11377833 84.37584096 -69.08471842 84.37584096 -69.08471842,2003851026,4907.58937263044
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07D010,84.58320601655,-69.21592139775,12939,SABBI,3,56560.02383,56560.06752,2270,56560.15457,2012945834,POLYGON 84.54231475 -69.18353571 84.48939716 -69.23578987 84.64610123 -69.25086854 84.69597136 -69.19683577 84.54231475 -69.18353571 84.54231475 -69.18353571,2003880470,4908.03672096941
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V2C,STAR FORMING REGION;STELLAR CLUSTER,IBY02C030,84.51965666667,-69.20572222222,12939,SABBI,3,56454.82828,56454.86613,1598.465576,56455.02333,2012916409,POLYGON 84.52055314 -69.17969999 84.44940976 -69.20253786 84.5192279 -69.23091967 84.59217569 -69.20875924 84.52055314 -69.17969999 84.52055314 -69.17969999,2003851045,4911.95651393672
