instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs filename
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fhq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fhq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fiq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fiq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fjq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fjq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 20 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fkq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 20 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fkq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 20 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2flq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 20 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2flq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fmq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fmq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fnq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fnq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2foq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2foq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fpq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 CLEAR1S F814W Gallagher 259 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fpq_raw.fits
ACS WFC 13476 ANY 10.911396 -73.453597 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gfq_flc.fits
ACS WFC 13476 ANY 10.911396 -73.453597 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gfq_flt.fits
ACS WFC 13476 ANY 10.911396 -73.453597 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gfq_raw.fits
ACS WFC 13476 ANY 10.914946 -73.453116 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206ghq_flc.fits
ACS WFC 13476 ANY 10.914946 -73.453116 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206ghq_flt.fits
ACS WFC 13476 ANY 10.914946 -73.453116 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206ghq_raw.fits
ACS WFC 13476 ANY 10.918150 -73.453749 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gjq_flc.fits
