instrument,detector,propid,target,RAJ2000,DECJ2000,filter1,filter2,pr_inv,exptime,date-obs,filename
@string,string,int,string,ra,dec,string,string,string,int,string,string
ACS,WFC,13476,ANY,11.056581,-72.780571,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc207h7q_flt.fits
ACS,WFC,13476,ANY,11.059415,-72.781300,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207haq_flc.fits
ACS,WFC,13476,ANY,11.059415,-72.781300,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207haq_flt.fits
ACS,WFC,13476,ANY,11.058677,-72.782398,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hdq_flc.fits
ACS,WFC,13476,ANY,11.058677,-72.782398,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hdq_flt.fits
ACS,WFC,13476,ANY,11.055106,-72.782768,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hgq_flc.fits
ACS,WFC,13476,ANY,11.055106,-72.782768,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hgq_flt.fits
ACS,WFC,13476,ANY,11.052273,-72.782039,CLEAR1L,F814W,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hjq_flc.fits
ACS,WFC,13476,ANY,11.052273,-72.782039,CLEAR1L,F814W,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc207hjq_flt.fits
ACS,WFC,13476,ANY,11.000964,-74.785788,CLEAR1L,F814W,Kallivayalil,341,2013-10-13,smc_fields/ACS/13476_ANY/jcc208iwq_flc.fits
ACS,WFC,13476,ANY,11.000964,-74.785788,CLEAR1L,F814W,Kallivayalil,341,2013-10-13,smc_fields/ACS/13476_ANY/jcc208iwq_flt.fits
ACS,WFC,13476,ANY,11.005186,-74.785626,F606W,CLEAR2L,Kallivayalil,348,2013-10-13,smc_fields/ACS/13476_ANY/jcc208iyq_flc.fits
ACS,WFC,13476,ANY,11.005186,-74.785626,F606W,CLEAR2L,Kallivayalil,348,2013-10-13,smc_fields/ACS/13476_ANY/jcc208iyq_flt.fits
ACS,WFC,13476,ANY,11.007797,-74.786500,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j1q_flc.fits
ACS,WFC,13476,ANY,11.007797,-74.786500,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j1q_flt.fits
ACS,WFC,13476,ANY,11.006187,-74.787537,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j4q_flc.fits
ACS,WFC,13476,ANY,11.006187,-74.787537,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j4q_flt.fits
ACS,WFC,13476,ANY,11.001965,-74.787699,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j7q_flc.fits
ACS,WFC,13476,ANY,11.001965,-74.787699,F606W,CLEAR2L,Kallivayalil,368,2013-10-13,smc_fields/ACS/13476_ANY/jcc208j7q_flt.fits
ACS,WFC,13476,ANY,10.999353,-74.786825,CLEAR1L,F814W,Kallivayalil,348,2013-10-13,smc_fields/ACS/13476_ANY/jcc208jaq_flc.fits
ACS,WFC,13476,ANY,10.999353,-74.786825,CLEAR1L,F814W,Kallivayalil,348,2013-10-13,smc_fields/ACS/13476_ANY/jcc208jaq_flt.fits
ACS,WFC,13476,ANY,13.309537,-73.596869,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hoq_flc.fits
ACS,WFC,13476,ANY,13.309537,-73.596869,CLEAR1L,F814W,Kallivayalil,341,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hoq_flt.fits
ACS,WFC,13476,ANY,13.313437,-73.596666,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hqq_flc.fits
ACS,WFC,13476,ANY,13.313437,-73.596666,F606W,CLEAR2L,Kallivayalil,348,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hqq_flt.fits
ACS,WFC,13476,ANY,13.315975,-73.597515,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc209htq_flc.fits
ACS,WFC,13476,ANY,13.315975,-73.597515,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc209htq_flt.fits
ACS,WFC,13476,ANY,13.314614,-73.598567,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hwq_flc.fits
ACS,WFC,13476,ANY,13.314614,-73.598567,F606W,CLEAR2L,Kallivayalil,368,2013-10-01,smc_fields/ACS/13476_ANY/jcc209hwq_flt.fits
