#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,WFC3/UVIS,HLA,F555W,OPTICAL,053431.5-683513.9,,hst_12941_07_wfc3_uvis_f555w,83.6102192106509,-68.5807358062343,12941,Stephens,3,56231.76315,56231.83588,1193,,56596.9585,2014956434,POLYGON J2000 83.69209320 -68.56255930 83.69195933 -68.56255694 83.69193210 -68.56189130 83.69179996 -68.56188897 83.69177270 -68.56122240 83.56818983 -68.55900128 83.56792390 -68.55899640 83.56872760 -68.58168170 83.56886056 -68.58168414 83.56888420 -68.58235070 83.56901748 -68.58235314 83.56904110 -68.58301880 83.56911633 -68.58302018 83.56980650 -68.60430930 83.56994147 -68.60431209 83.56996310 -68.60497830 83.57009940 -68.60498112 83.57012100 -68.60564640 83.69349700 -68.60815060 83.69264680 -68.58573400 83.69250990 -68.58573127 83.69249108 -68.58523456 83.69302240 -68.58524390 83.69209320 -68.56255930,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_07_wfc3_uvis_f555w&size=ALL&format=jpeg&output_size=256,2004576341,5374.52178594052
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,053431.5-683513.9,EXT-STAR;YSO,IC2O07040,83.63108333333,-68.58719444444,12941,STEPHENS,3,56231.76315,56231.83588,1193,Probing Isolated Massive Star Formation in the LMC,56596.9585,2012918920,POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865,http://archive.stsci.edu/hst/previews/IC2O/IC2O07040_256.jpg,2003853556,5375.16584081281
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,053431.5-683513.9,EXT-STAR;YSO,IC2O07060,83.63108333333,-68.58719444444,12941,STEPHENS,3,56231.77595,56231.85484,2666,Probing Isolated Massive Star Formation in the LMC,56597.0255,2012918922,POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865,http://archive.stsci.edu/hst/previews/IC2O/IC2O07060_256.jpg,2003853558,5375.16584081281
image,HST,ACS/WFC,DADS,F606W,OPTICAL,J053431.48-683513.7,ISM;REFLECTION NEBULA,JBTC29010,83.63116666667,-68.58713888889,12519,SAHAI,3,56501.63038,56501.64787,407.5,Newly Discovered LMC Preplanetary Nebulae as Probes of Stellar Evolution,56685.91588,2012945442,POLYGON 83.62900673 -68.57687487 83.60526746 -68.58756268 83.63345905 -68.59737217 83.65752929 -68.58671001 83.62900673 -68.57687487 83.62900673 -68.57687487,http://archive.stsci.edu/hst/previews/JBTC/JBTC29010_256.jpg,2003880078,5449.7228476724
image,HST,ACS/WFC,DADS,F435W,OPTICAL,J053431.48-683513.7,ISM;REFLECTION NEBULA,JBTC29020,83.63116666667,-68.58713888889,12519,SAHAI,3,56501.63602,56501.6436,420,Newly Discovered LMC Preplanetary Nebulae as Probes of Stellar Evolution,56685.91604,2012945443,POLYGON 83.62900673 -68.57687487 83.60526746 -68.58756268 83.63345905 -68.59737217 83.65752929 -68.58671001 83.62900673 -68.57687487 83.62900673 -68.57687487,http://archive.stsci.edu/hst/previews/JBTC/JBTC29020_256.jpg,2003880079,5449.7228476724
image,HST,ACS/WFC,DADS,F814W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JCZA01030,77.15419634446,-68.87138673594,14174,GOUDFROOIJ,3,57317.59322,57317.66677,670,Probing Extended Star Formation in the Young Massive Cluster NGC 1850,57683.94051,2014250144,POLYGON 77.16960543 -68.83633264 77.04678048 -68.86979735 77.15284001 -68.91283991 77.27613829 -68.87732385 77.16960543 -68.83633264 77.16960543 -68.83633264,http://archive.stsci.edu/hst/previews/JCZA/JCZA01030_256.jpg,2004351931,5584.47563874908
image,HST,ACS/WFC,DADS,F555W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JCZA01010,77.15449026223,-68.87072271804,14174,GOUDFROOIJ,3,57317.52855,57317.5749,1450,Probing Extended Star Formation in the Young Massive Cluster NGC 1850,57683.61168,2014250142,POLYGON 77.1698982 -68.83566859 77.04707725 -68.86913345 77.15313403 -68.91217587 77.27642826 -68.87665967 77.1698982 -68.83566859 77.1698982 -68.83566859,http://archive.stsci.edu/hst/previews/JCZA/JCZA01010_256.jpg,2004351929,5585.58348859688
image,HST,WFC3/UVIS,HLA,F814W,OPTICAL,ANY,,hst_12581_02_wfc3_uvis_f814w,85.6942619434163,-69.5729465684512,12581,Roman-Duval,3,56225.28068,56225.42454,2150,,56590.8819,2014952494,POLYGON J2000 85.61925410 -69.55264870 85.62961380 -69.57504680 85.75886210 -69.57060440 85.74836920 -69.54821400 85.61925410 -69.55264870 POLYGON J2000 85.76899580 -69.59323820 85.75867950 -69.57110960 85.63006420 -69.57523930 85.64024900 -69.59737540 85.76899580 -69.59323820,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12581_02_wfc3_uvis_f814w&size=ALL&format=jpeg&output_size=256,2004572401,5962.92796664141
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,IBP502050,85.69493486313,-69.57272203187,12581,ROMAN-DUVAL,3,56225.28068,56225.42454,2150,A Direct CO/H2 Abundance Measurement in Diffuse and Translucent LMC and SMC Molecular Clouds,56590.8819,2012913203,POLYGON 85.74895259 -69.54808472 85.61945001 -69.55266213 85.64088019 -69.59734682 85.7692961 -69.59332395 85.74895259 -69.54808472 85.74895259 -69.54808472,http://archive.stsci.edu/hst/previews/IBP5/IBP502050_256.jpg,2003847839,5963.17084151178
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,DEML71,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO04040,76.43204989193,-67.88050551245,13282,CHU,3,56721.02941,56721.05922,1050,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57086.32005,2012921584,POLYGON 76.42923492 -67.84950913 76.34408219 -67.88099419 76.43480235 -67.91151799 76.51995106 -67.87924552 76.42923492 -67.84950913 76.42923492 -67.84950913,http://archive.stsci.edu/hst/previews/ICCO/ICCO04040_256.jpg,2003856220,8812.47693509829
