# This is a cull of mast.csv to only inlcude *_fl*fits entries. NGC2070 and other entries were cleaned up.
#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01ryq_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,40,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s1q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s2q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,340,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51hxq_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,40,2006-10-18,clusters/ACS/10595_ESO056-SC023-COPY/j9es51i0q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC023-COPY/j9es51i1q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,340,2006-10-18,clusters/ACS/10595_ESO056-SC023-COPY/j9es51i3q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,8,2006-10-18,clusters/ACS/10595_ESO056-SC023-COPY/j9es51i6q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,F555W,CLEAR2L,Goudfrooij,0,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s4q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
ACS,WFC,10595,ESO056-SC023,73.55,-69.806667,CLEAR1L,F814W,Goudfrooij,8,2006-03-04,clusters/ACS/10595_ESO056-SC023/j9es01s7q_flt.fits,image,3,HST,J9ES51I6Q,ESO056-SC023-COPY,73.55,-69.80666666667,54026.02674,54026.02684,8,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,A Reference Database for Accurate Ages and Metallicities of Globular Clusters in the Magellanic Clouds,54391.14183,ACS/WFC,GOUDFROOIJ,10595,2012758225,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838,http://archive.stsci.edu/hst/previews/J9ES/J9ES51I6Q_256.jpg,2003098383,DADS,0
