#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_bk_acs_wfc_f475w,17.7847717353939,-72.9010700131032,9488,Ratnatunga,3,52874.13624,52874.17172,1800,,52874.39273,2014981180,POLYGON J2000 17.72052040 -72.92217260 17.79717700 -72.93984140 17.92633160 -72.89769110 17.84972890 -72.88007090 17.72052040 -72.92217260 POLYGON J2000 17.77365950 -72.86317330 17.64402890 -72.90423030 17.71841970 -72.92117280 17.84800140 -72.88006840 17.77365950 -72.86317330,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_bk_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004601087,4736.90358420142
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_bl_acs_wfc_f475w,17.7847717352219,-72.9010700129777,9488,Ratnatunga,3,52874.24012,52874.268,1669,,52874.75522,2014981184,POLYGON J2000 17.84800110 -72.88006840 17.77365940 -72.86317330 17.64402920 -72.90423030 17.71841980 -72.92117270 17.84800110 -72.88006840 POLYGON J2000 17.79717700 -72.93984130 17.92633140 -72.89769110 17.84972880 -72.88007100 17.72052060 -72.92217260 17.79717700 -72.93984130,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_bl_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004601091,4736.90390181063
image,HST,ACS/WFC,HLA,F606W,OPTICAL,ANY,,hst_13476_01_acs_wfc_f606w,9.0119932411949,-73.466553556816,13476,Kallivayalil,3,56563.92282,56563.95987,1452,,56929.08487,2014960901,POLYGON J2000 8.93260194 -73.44446865 8.93023050 -73.44448420 8.94108582 -73.47166515 8.94120460 -73.47196210 8.94207835 -73.47195634 8.94237153 -73.47274245 8.94249621 -73.47307673 8.94018330 -73.47310080 8.95080840 -73.50154950 8.95464940 -73.50150940 9.15032120 -73.49937330 9.15019227 -73.49903925 9.15403250 -73.49899550 9.15361303 -73.49790918 9.15476920 -73.49789600 9.14422344 -73.47054407 9.14380540 -73.46945800 9.14154486 -73.46948369 9.14138799 -73.46910285 9.14257360 -73.46909390 9.13172453 -73.44271721 9.13127680 -73.44162690 9.12861917 -73.44164685 9.12831440 -73.44090430 8.93173150 -73.44228610 8.93202774 -73.44302895 8.93246274 -73.44411966 8.93260194 -73.44446865,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13476_01_acs_wfc_f606w&size=ALL&format=jpeg&output_size=256,2004580808,4776.86365817744
image,HST,ACS/WFC,DADS,F606W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JCC201020,9.037535068038,-73.46652799615,13476,KALLIVAYALIL,3,56563.92282,56563.95987,1452,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56929.08487,2012947751,POLYGON 9.15020204 -73.49719838 9.12571231 -73.44144616 8.93090178 -73.44245101 8.95023703 -73.49973401 9.15020204 -73.49719838 9.15020204 -73.49719838,http://archive.stsci.edu/hst/previews/JCC2/JCC201020_256.jpg,2003882387,4781.73756293215
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_13476_01_acs_wfc_f814w,9.07782407235132,-73.4664074050709,13476,Kallivayalil,3,56563.91635,56563.96647,689,,56929.08772,2014960902,POLYGON J2000 9.13471068 -73.46875891 9.13589680 -73.46875000 9.12505845 -73.44237525 9.12461070 -73.44128390 8.92803230 -73.44266150 8.92846748 -73.44375324 8.92728110 -73.44376100 8.93825010 -73.47123770 8.94785237 -73.47117434 8.93798010 -73.47127710 8.93838546 -73.47236459 8.93722860 -73.47237660 8.94784880 -73.50082400 9.14734330 -73.49865160 9.14692383 -73.49756425 9.14808040 -73.49755110 9.13754544 -73.47020131 9.13712740 -73.46911420 9.13486742 -73.46913981 9.13471068 -73.46875891,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13476_01_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004580809,4782.5066538701
image,HST,ACS/WFC,DADS,F814W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JCC201010,9.0338284338,-73.46690381905,13476,KALLIVAYALIL,3,56563.91635,56563.96647,689,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56929.08772,2012947750,POLYGON 9.14649145 -73.49757622 9.12201319 -73.44182357 8.92719815 -73.44282502 8.94652146 -73.50010835 9.14649145 -73.49757622 9.14649145 -73.49757622,http://archive.stsci.edu/hst/previews/JCC2/JCC201010_256.jpg,2003882386,4785.74999948613
image,HST,ACS/WFC,DADS,F475W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JBHY12010,16.97491958454,-71.86070500779,12257,GIRARDI,3,55801.32223,55801.36025,2490,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56167.43755,2012943529,POLYGON 17.11736251 -71.8612083 16.97886183 -71.82523417 16.85084506 -71.86386223 16.98969776 -71.90190551 17.11736251 -71.8612083 17.11736251 -71.8612083,http://archive.stsci.edu/hst/previews/JBHY/JBHY12010_256.jpg,2003878165,5297.76573043462
image,HST,ACS/WFC,HLA,F475W,OPTICAL,ANY,,hst_12257_12_acs_wfc_f475w,17.0041612557007,-71.8586330417915,12257,Girardi,3,55801.32223,55801.36025,2490,,56167.43755,2014943894,POLYGON J2000 16.99009420 -71.90121060 16.99013478 -71.90119786 16.99023840 -71.90122560 17.11832953 -71.86089215 17.11836990 -71.86087940 17.11824456 -71.86084592 17.11827440 -71.86083650 17.11620175 -71.86028290 17.11681780 -71.86008830 17.04923491 -71.84200718 17.04714530 -71.84144720 17.04582250 -71.84186449 17.04488216 -71.84161632 17.04552300 -71.84141950 16.97997774 -71.82409387 16.97786650 -71.82353490 16.84949310 -71.86278770 16.85158247 -71.86334211 16.85093850 -71.86353840 16.85096079 -71.86354431 16.85088800 -71.86356650 16.91856820 -71.88149560 16.91860928 -71.88148306 16.91871340 -71.88151060 16.95783791 -71.86955839 16.91899460 -71.88174600 16.92106329 -71.88230157 16.92044400 -71.88249570 16.92046562 -71.88250151 16.92039450 -71.88252380 16.99009420 -71.90121060,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12257_12_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004563801,5298.52284471801
image,HST,ACS/WFC,DADS,F814W,OPTICAL,ANY,PARALLEL FIELD;UNIDENTIFIED,JBHY12020,16.97342357488,-71.8598836801,12257,GIRARDI,3,55801.37457,55801.42434,2700,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56167.57906,2012943530,POLYGON 17.11586029 -71.86038806 16.9773685 -71.82441287 16.84935429 -71.86303996 16.98819789 -71.9010843 17.11586029 -71.86038806 17.11586029 -71.86038806,http://archive.stsci.edu/hst/previews/JBHY/JBHY12020_256.jpg,2003878166,5298.54452481391
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_12257_12_acs_wfc_f814w,16.9688220923585,-71.8644050035949,12257,Girardi,3,55801.37457,55801.42434,2700,,56167.57906,2014943895,POLYGON J2000 17.04719470 -71.84142020 17.04579886 -71.84186052 17.04498541 -71.84164586 17.04566710 -71.84143650 17.04564528 -71.84143074 17.04571770 -71.84140850 16.97808638 -71.82353164 16.97806470 -71.82352590 16.97802366 -71.82353849 16.97792060 -71.82351120 16.84955320 -71.86275950 16.84965641 -71.86278689 16.84967805 -71.86279263 16.84964500 -71.86280270 16.85163217 -71.86332996 16.85094860 -71.86353830 16.85115160 -71.86359216 16.85113440 -71.86359740 16.91881060 -71.88152420 16.91951117 -71.88131040 16.91958405 -71.88128816 16.95108106 -71.87166816 16.91904990 -71.88171650 16.91915291 -71.88174417 16.91917393 -71.88174981 16.91914270 -71.88175960 16.92111027 -71.88228801 16.92044930 -71.88249520 16.92065145 -71.88254949 16.92063610 -71.88255430 16.99033110 -71.90123950 16.99100728 -71.90102726 16.99107867 -71.90100486 17.11845640 -71.86089590 17.11825393 -71.86084182 17.11826920 -71.86083700 17.11629887 -71.86031074 17.11695780 -71.86010260 17.11693665 -71.86009695 17.11700740 -71.86007460 17.04735974 -71.84144048 17.04733890 -71.84143490 17.04729786 -71.84144785 17.04719470 -71.84142020,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12257_12_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004563802,5298.64161483218
