k,i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
106,101,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,850,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503udq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
107,102,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,800,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503ukq_flt.fits,15.0,lmc,BSDL2856,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049573 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369
108,103,ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F814W,Goudfrooij,383,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h3q_flt.fits,16.0,lmc,NGC2209-FIELD,POLYGON 92.03790639 -73.71333605 91.92949013 -73.76140562 92.10742938 -73.78757495 92.2173457 -73.74132673 92.03790639 -73.71333605 92.03790639 -73.71333605
109,104,ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F435W,Goudfrooij,820,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h6q_flt.fits,16.0,lmc,NGC2209-FIELD,POLYGON 92.03790639 -73.71333605 91.92949013 -73.76140562 92.10742938 -73.78757495 92.2173457 -73.74132673 92.03790639 -73.71333605 92.03790639 -73.71333605
110,105,ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F435W,Goudfrooij,840,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01haq_flt.fits,16.0,lmc,NGC2209-FIELD,POLYGON 92.03790639 -73.71333605 91.92949013 -73.76140562 92.10742938 -73.78757495 92.2173457 -73.74132673 92.03790639 -73.71333605 92.03790639 -73.71333605
111,106,ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F814W,Goudfrooij,361,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01heq_flt.fits,16.0,lmc,NGC2209-FIELD,POLYGON 92.03790639 -73.71333605 91.92949013 -73.76140562 92.10742938 -73.78757495 92.2173457 -73.74132673 92.03790639 -73.71333605 92.03790639 -73.71333605
112,107,ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F814W,Goudfrooij,333,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02iiq_flt.fits,17.0,lmc,NGC2209-FIELD,POLYGON 96.46387721 -68.97232992 96.35704008 -69.01253438 96.481885019999993 -69.04880388 96.58816751 -69.00654981 96.46387721 -68.97232992 96.46387721 -68.97232992
113,108,ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F435W,Goudfrooij,795,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ilq_flt.fits,17.0,lmc,NGC2209-FIELD,POLYGON 96.46387721 -68.97232992 96.35704008 -69.01253438 96.481885019999993 -69.04880388 96.58816751 -69.00654981 96.46387721 -68.97232992 96.46387721 -68.97232992
114,109,ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F435W,Goudfrooij,815,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ipq_flt.fits,17.0,lmc,NGC2209-FIELD,POLYGON 96.46387721 -68.97232992 96.35704008 -69.01253438 96.481885019999993 -69.04880388 96.58816751 -69.00654981 96.46387721 -68.97232992 96.46387721 -68.97232992
115,110,ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F814W,Goudfrooij,413,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02itq_flt.fits,17.0,lmc,NGC2209-FIELD,POLYGON 96.46387721 -68.97232992 96.35704008 -69.01253438 96.481885019999993 -69.04880388 96.58816751 -69.00654981 96.46387721 -68.97232992 96.46387721 -68.97232992
