i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
210,784,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1200,2011-10-13,clusters/WFC3/12257_NGC-1751/ibhy52vgq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
211,785,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1190,2011-10-13,clusters/WFC3/12257_NGC-1751/ibhy52vmq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
212,786,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1190,2011-10-13,clusters/WFC3/12257_NGC-1751/ibhy52vsq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
213,980,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1200,2011-10-13,stage/ibhy52vgq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
214,981,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1190,2011-10-13,stage/ibhy52vmq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
215,982,WFC3,UVIS,12257,NGC-1751,73.575625,-69.812778,...,...,Girardi,1190,2011-10-13,stage/ibhy52vsq_flt.fits,64.0,lmc,NGC1751,POLYGON 73.62862797 -69.7877198 73.49798517 -69.79331927 73.52258505 -69.83782326 73.65216653 -69.83278656 73.62862797 -69.7877198 73.62862797 -69.7877198
864,207,ACS,WFC,13009,ANY,13.695999,-72.167496,F606W,CLEAR2L,De Marchi,100,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81iyq_flt.fits,32.0,smc,NGC299-FIELD,
865,208,ACS,WFC,13009,ANY,13.695884,-72.167451,CLEAR1L,F814W,De Marchi,0,2013-04-28,smc_fields/ACS/13009_ANY/jbyy81j9q_flt.fits,32.0,smc,NGC299-FIELD,
866,209,ACS,WFC,13009,ANY,13.49623,-72.29826,F606W,CLEAR2L,De Marchi,100,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82l4q_flt.fits,33.0,smc,NGC299-FIELD-1,
867,210,ACS,WFC,13009,ANY,13.496385,-72.298227,CLEAR1L,F814W,De Marchi,340,2013-08-04,smc_fields/ACS/13009_ANY/jbyy82leq_flt.fits,33.0,smc,NGC299-FIELD-1,
944,290,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,700,2013-04-28,smc_fields/WFC3/13009_LOW-NGC299/ibyy81ixq_flt.fits,46.0,smc,NGC299,
945,291,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,712,2013-04-28,smc_fields/WFC3/13009_LOW-NGC299/ibyy81j2q_flt.fits,46.0,smc,NGC299,
946,292,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,982,2013-04-28,smc_fields/WFC3/13009_LOW-NGC299/ibyy81j6q_flt.fits,46.0,smc,NGC299,
947,293,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,700,2013-08-04,smc_fields/WFC3/13009_LOW-NGC299/ibyy82l3q_flt.fits,46.0,smc,NGC299,
948,294,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,712,2013-08-04,smc_fields/WFC3/13009_LOW-NGC299/ibyy82l7q_flt.fits,46.0,smc,NGC299,
949,295,WFC3,UVIS,13009,LOW-NGC299,13.394528,-72.204028,...,...,De Marchi,982,2013-08-04,smc_fields/WFC3/13009_LOW-NGC299/ibyy82lbq_flt.fits,46.0,smc,NGC299,
950,336,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,3,2004-09-07,clusters/ACS/10248_NGC299/j92f11hqq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
