#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,distance
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96123010,17.09060145741,-72.87914544335,10396,GALLAGHER,3,53924.59915,53924.61277,20,54290.25038,2012933950,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789276 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,4055.2597057252
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96123020,17.09060145741,-72.87914544335,10396,GALLAGHER,3,53924.65293,53924.72502,1896,54290.29244,2012933951,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789276 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,4055.2597057252
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96123030,17.09060145741,-72.87914544335,10396,GALLAGHER,3,53924.73111,53924.74581,40,54290.30655,2012933952,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789276 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,4055.2597057252
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC419,EXT-CLUSTER;GLOBULAR CLUSTER,J96123040,17.09060145741,-72.87914544335,10396,GALLAGHER,3,53924.74767,53924.82537,1984,54290.34179,2012933953,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789276 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,4055.2597057252
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-419,EXT-CLUSTER;GLOBULAR CLUSTER,IBHY30030,17.09416666667,-72.87916666667,12257,GIRARDI,3,55798.66193,55798.73084,3230,56164.8477,2012910781,POLYGON 17.16651275 -72.85661288 17.01223104 -72.85648234 17.02173773 -72.90170202 17.17461794 -72.9023438 17.16651275 -72.85661288 17.16651275 -72.85661288,4065.74973974696
image,HST,ACS/HRC,DADS,F555W,OPTICAL,NGC419-CENTERED,EXT-CLUSTER;GLOBULAR CLUSTER,J961A2010,17.07416666667,-72.88412777778,10396,GALLAGHER,3,53485.87902,53485.88066,70,53851.17388,2012933958,POLYGON 17.08976592 -72.88183993 17.06341767 -72.87943761 17.0587446 -72.88636346 17.08487114 -72.88876684 17.08976592 -72.88183993 17.08976592 -72.88183993,4115.69080313488
image,HST,ACS/HRC,DADS,F555W,OPTICAL,NGC419-CENTERED,EXT-CLUSTER;GLOBULAR CLUSTER,J961A2020,17.07416666667,-72.88412777778,10396,GALLAGHER,3,53485.88145,53485.91675,1200,53851.17399,2012933959,POLYGON 17.08976592 -72.88183993 17.06341767 -72.87943761 17.0587446 -72.88636346 17.08487114 -72.88876684 17.08976592 -72.88183993 17.08976592 -72.88183993,4115.69080313488
image,HST,ACS/HRC,DADS,F814W,OPTICAL,NGC419-CENTERED,EXT-CLUSTER;GLOBULAR CLUSTER,J961A2030,17.07416666667,-72.88412777778,10396,GALLAGHER,3,53485.91826,53485.91956,40,53851.17426,2012933960,POLYGON 17.08976592 -72.88183993 17.06341767 -72.87943761 17.0587446 -72.88636346 17.08487114 -72.88876684 17.08976592 -72.88183993 17.08976592 -72.88183993,4115.69080313488
image,HST,ACS/HRC,DADS,F814W,OPTICAL,NGC419-CENTERED,EXT-CLUSTER;GLOBULAR CLUSTER,J961A2040,17.07416666667,-72.88412777778,10396,GALLAGHER,3,53485.92035,53485.95339,1036,53851.18134,2012933961,POLYGON 17.08976592 -72.88183993 17.06341767 -72.87943761 17.0587446 -72.88636346 17.08487114 -72.88876684 17.08976592 -72.88183993 17.08976592 -72.88183993,4115.69080313488
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96101010,16.99004627332,-72.36269657534,10396,GALLAGHER,3,53696.66109,53696.6695,20,54061.97632,2012933894,POLYGON 17.10439858 -72.35998764 16.96489742 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439858 -72.35998764 17.10439858 -72.35998764,4279.37703441132
