# instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs file
ACS WFC 12257 ANY 92.565097 -71.615149 F475W CLEAR2L Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kdq_flc.fits 
ACS WFC 12257 ANY 92.565097 -71.615149 F475W CLEAR2L Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kdq_flt.fits 
ACS WFC 12257 ANY 92.564645 -71.614240 F475W CLEAR2L Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kgq_flc.fits 
ACS WFC 12257 ANY 92.564645 -71.614240 F475W CLEAR2L Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kgq_flt.fits 
ACS WFC 12257 ANY 92.564529 -71.614210 CLEAR1L F814W Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kkq_flc.fits 
ACS WFC 12257 ANY 92.564529 -71.614210 CLEAR1L F814W Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25kkq_flt.fits 
ACS WFC 12257 ANY 92.564995 -71.615073 CLEAR1L F814W Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25koq_flc.fits 
ACS WFC 12257 ANY 92.564995 -71.615073 CLEAR1L F814W Girardi_Leo 500 2011-11-29 lmc_fields/ACS/12257_ANY/jbhy25koq_flt.fits 
ACS WFC 12257 ANY 82.450206 -66.233799 F555W CLEAR2L Girardi_Leo 500 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40ebq_flc.fits 
ACS WFC 12257 ANY 82.450206 -66.233799 F555W CLEAR2L Girardi_Leo 500 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40ebq_flt.fits 
ACS WFC 12257 ANY 82.450237 -66.233753 F555W CLEAR2L Girardi_Leo 500 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40eeq_flc.fits 
ACS WFC 12257 ANY 82.450237 -66.233753 F555W CLEAR2L Girardi_Leo 500 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40eeq_flt.fits 
ACS WFC 12257 ANY 82.452103 -66.233273 CLEAR1L F814W Girardi_Leo 350 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40eiq_flc.fits 
ACS WFC 12257 ANY 82.452103 -66.233273 CLEAR1L F814W Girardi_Leo 350 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40eiq_flt.fits 
ACS WFC 12257 ANY 82.452000 -66.233305 CLEAR1L F814W Girardi_Leo 350 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40emq_flc.fits 
ACS WFC 12257 ANY 82.452000 -66.233305 CLEAR1L F814W Girardi_Leo 350 2011-08-15 lmc_fields/ACS/12257_ANY/jbhy40emq_flt.fits 
ACS WFC 12257 ANY 77.421712 -67.878272 F555W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41sfq_flc.fits 
ACS WFC 12257 ANY 77.421712 -67.878272 F555W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41sfq_flt.fits 
ACS WFC 12257 ANY 77.421837 -67.878277 F555W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41siq_flc.fits 
ACS WFC 12257 ANY 77.421837 -67.878277 F555W CLEAR2L Girardi_Leo 500 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41siq_flt.fits 
ACS WFC 12257 ANY 77.423409 -67.878944 CLEAR1L F814W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41smq_flc.fits 
ACS WFC 12257 ANY 77.423409 -67.878944 CLEAR1L F814W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41smq_flt.fits 
ACS WFC 12257 ANY 77.423308 -67.878908 CLEAR1L F814W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41sqq_flc.fits 
ACS WFC 12257 ANY 77.423308 -67.878908 CLEAR1L F814W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy41sqq_flt.fits 
ACS WFC 12257 ANY 89.526266 -67.354204 F555W CLEAR2L Girardi_Leo 500 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42plq_flc.fits 
ACS WFC 12257 ANY 89.526266 -67.354204 F555W CLEAR2L Girardi_Leo 500 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42plq_flt.fits 
ACS WFC 12257 ANY 89.526388 -67.354200 F555W CLEAR2L Girardi_Leo 500 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42poq_flc.fits 
ACS WFC 12257 ANY 89.526388 -67.354200 F555W CLEAR2L Girardi_Leo 500 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42poq_flt.fits 
ACS WFC 12257 ANY 89.528223 -67.354745 CLEAR1L F814W Girardi_Leo 350 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42psq_flc.fits 
ACS WFC 12257 ANY 89.528223 -67.354745 CLEAR1L F814W Girardi_Leo 350 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42psq_flt.fits 
ACS WFC 12257 ANY 89.528109 -67.354717 CLEAR1L F814W Girardi_Leo 350 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42pwq_flc.fits 
ACS WFC 12257 ANY 89.528109 -67.354717 CLEAR1L F814W Girardi_Leo 350 2011-10-09 lmc_fields/ACS/12257_ANY/jbhy42pwq_flt.fits 
ACS WFC 12257 ANY 74.813586 -66.092641 CLEAR1L F814W Girardi_Leo 80 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50syq_flt.fits 
ACS WFC 12257 ANY 74.813586 -66.092641 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50szq_flt.fits 
ACS WFC 12257 ANY 74.813586 -66.092641 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50t1q_flt.fits 
ACS WFC 12257 ANY 74.813470 -66.092634 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50t4q_flt.fits 
ACS WFC 12257 ANY 74.813470 -66.092634 CLEAR1L F814W Girardi_Leo 300 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50t8q_flt.fits 
ACS WFC 12257 ANY 74.812104 -66.091912 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50tfq_flt.fits 
ACS WFC 12257 ANY 74.812104 -66.091912 CLEAR1L F814W Girardi_Leo 340 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy50thq_flt.fits 
ACS WFC 12257 ANY 75.622736 -68.085469 CLEAR1L F814W Girardi_Leo 80 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51ruq_flc.fits 
ACS WFC 12257 ANY 75.622736 -68.085469 CLEAR1L F814W Girardi_Leo 80 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51ruq_flt.fits 
ACS WFC 12257 ANY 75.622736 -68.085469 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51rvq_flc.fits 
