#@ string, ra, dec, float, float, float, float, int, string
# Name RA Dec M_V logAge elogAge logMass Source AltName
HS141        5h09m49.3s -69d05m03.1s -5.01 9.00 0.10 3.92 3 NA
SL276        5h09m58.0s -69d21m11.0s -6.17 8.90 0.08 4.32 3 NA
OGLE-LMC0169 5h10m06.1s -69d05m19.6s -6.32 8.25 0.05 3.93 2 NA
SL282        5h10m10.9s -70d22m33.3s -4.52 9.13 0.10 3.71 2 KMHK619
SL278        5h10m16.0s -68d29m30.8s -5.53 8.40 0.40 3.72 1 NA
KMK88-32     5h10m20.0s -68d52m45.0s -5.58 8.50 0.10 3.81 3 H88-17
NGC1861      5h10m21.9s -70d46m44.2s -5.97 8.79 0.11 4.16 2 NA
HS153        5h10m30.0s -68d52m21.0s -5.84 8.55 0.10 3.95 3 BRHT48
SL291        5h10m30.5s -70d54m36.2s -5.54 8.72 0.11 3.94 2 KMHK626
NGC1860      5h10m38.9s -68d45m12.0s -8.88 8.28 0.30 4.30 4 NA
SL288        5h10m39.4s -69d02m28.6s -6.94 7.65 0.05 3.81 3 NA
SL294        5h10m42.2s -70d03m46.8s -5.89 8.28 0.30 3.78 2 KMHK627
SL296        5h10m56.7s -69d33m31.1s -5.86 8.85 0.05 4.15 3 NA
NGC1859      5h11m31.0s -65d14m57.1s -6.31 8.10 0.20 3.82 1 NA
NGC1863      5h11m39.0s -68d43m48.0s -7.91 7.80 0.40 4.28 1 NA
SL304        5h12m01.0s -69d12m01.0s -6.76 8.40 0.10 4.21 3 NA
KMK88-38     5h12m09.3s -68d54m40.6s -4.40 9.10 0.05 3.71 3 H88-206
NGC1865      5h12m25.0s -68d46m23.0s -6.65 8.80 0.05 4.44 3 NA
BSDL880      5h12m27.6s -69d33m13.8s -4.68 9.10 0.05 3.83 3 NA
KMK88-40     5h12m34.0s -69d17m11.0s -7.66 7.20 0.60 3.79 1 NA
KMK88-42     5h12m50.2s -68d51m51.2s -6.34 8.20 0.05 3.91 3 H88-216
NGC1878      5h12m50.7s -70d28m20.2s -6.00 8.54 0.03 4.01 2 NA
HS177        5h13m03.5s -69d03m01.7s -4.48 9.25 0.05 3.95 3 NA
NGC1870      5h13m10.0s -69d07m01.0s -7.49 8.15 0.05 4.33 3 NA
NGC1872      5h13m11.0s -69d18m43.0s -8.05 8.70 0.10 4.93 3 NA
NGC1866      5h13m38.9s -65d27m52.0s -9.98 8.12 0.30 4.63 4 NA
BSDL946      5h13m57.5s -68d42m52.1s -5.67 9.13 0.06 4.17 2 NA
NGC1868      5h14m36.2s -63d57m14.0s -7.58 8.74 0.30 4.53 4 NA
HS190        5h14m47.0s -69d27m22.0s -5.44 9.44 0.35 4.51 2 NA
HS186        5h14m49.0s -66d11m01.0s -4.84 8.80 0.60 3.71 1 NA
HS191        5h14m51.0s -69d25m39.5s -4.58 8.95 0.10 3.71 3 NA
BSDL985      5h14m53.0s -66d03m33.8s -5.15 8.60 0.60 3.71 1 NA
NGC1885      5h15m06.0s -68d58m45.0s -7.32 8.30 0.03 4.37 3 NA
NGC1894      5h15m51.0s -69d28m09.0s -7.96 8.05 0.05 4.45 3 NA
NGC1887      5h16m04.0s -66d19m09.1s -6.13 8.10 0.20 3.75 1 NA
BSDL1102     5h16m37.4s -70d12m38.9s -4.12 9.21 0.11 3.77 2 NA
SL352        5h16m41.6s -70d32m27.0s -5.80 8.61 0.03 3.97 2 KMHK715
NGC1898      5h16m42.4s -69d39m25.0s -7.82 10.15 0.07 5.88 4 NA
SL349        5h16m55.1s -68d52m36.2s -5.38 8.85 0.05 3.96 3 BRHT33
H1           5h17m08.4s -68d52m27.0s -6.82 9.20 0.10 4.84 3 SL353,BRHT33
NGC1903      5h17m22.0s -69d20m17.0s -9.28 8.08 0.03 5.00 3 NA
SL357        5h17m27.0s -69d22m35.0s -6.59 9.20 0.08 4.75 3 BRHT9
SL358        5h17m34.0s -69d30m51.0s -6.03 8.70 0.05 4.12 3 NA
HS211        5h17m38.0s -68d58m30.4s -5.01 8.70 0.10 3.71 3 NA
H2           5h17m49.2s -69d38m38.6s -7.06 9.25 0.10 4.98 3 SL363
HS213        5h17m56.2s -69d34m56.2s -5.79 8.30 0.07 3.76 3 NA
BRHT10       5h18m10.7s -69d32m25.4s -5.87 8.20 0.10 3.72 3 H88-264
NGC1902      5h18m17.0s -66d37m37.9s -7.24 8.00 0.20 4.13 1 NA
NGC1913      5h18m19.1s -69d32m13.7s -7.55 7.58 0.03 4.01 3 NA
NGC1916      5h18m37.5s -69d24m25.0s -8.93 10.20 0.09 5.79 4 NA
H88-269      5h18m41.7s -69d04m46.5s -4.98 9.00 0.10 3.91 3 NA
HS223A       5h18m52.4s -69d22m15.2s -5.15 9.10 0.05 4.02 3 NA
NGC1917      5h19m02.0s -69d00m04.0s -6.17 9.11 0.05 4.42 4 NA
HS227        5h19m04.0s -69d48m39.0s -5.16 9.00 0.03 3.99 3 NA
NGC1921      5h19m23.8s -69d47m16.2s -5.95 8.30 0.10 3.82 3 NA
SL385        5h19m26.3s -69d32m25.2s -6.63 8.50 0.05 4.23 3 BRHT35
SL387        5h19m33.7s -69d32m31.7s -6.41 9.00 0.10 4.49 3 BRHT35
NGC1922      5h19m50.0s -69d30m01.0s -7.74 7.35 0.10 3.92 3 NA
SL390        5h19m54.3s -68d57m50.4s -5.92 9.20 0.03 4.48 3 NA
SL397        5h20m12.0s -68d54m15.1s -6.67 7.80 0.20 3.79 1 NA
SL402        5h20m23.6s -69d35m06.3s -6.53 8.50 0.07 4.19 3 NA
H88-281      5h20m26.0s -69d15m08.8s -5.81 8.27 0.22 3.74 2 NA
NGC1926      5h20m35.0s -69d31m27.8s -7.76 8.20 0.10 4.47 3 NA
NGC1928      5h20m57.5s -69d28m41.6s -6.83 9.23 0.05 4.87 3 NA
BSDL1334     5h21m14.0s -68d47m00.0s -3.72 9.48 0.41 3.86 2 NA
NGC1938      5h21m25.4s -69d56m23.3s -5.90 8.75 0.05 4.10 3 NA
NGC1939      5h21m27.1s -69d57m01.3s -7.43 9.20 0.10 5.08 3 NA
SL410        5h21m45.0s -65d13m55.9s -6.36 8.05 0.20 3.81 1 NA
SL418        5h21m49.5s -69d39m06.9s -6.47 8.40 0.20 4.10 0 NA
NGC1944      5h21m57.0s -72d29m39.0s -6.66 7.84 0.05 3.81 4 NA
SL419        5h22m03.4s -69d15m18.3s -6.39 8.55 0.05 4.17 3 NA
SL423        5h22m13.3s -69d30m48.8s -6.30 8.40 0.10 4.03 3 NA
SL425        5h22m25.0s -68d47m06.0s -6.21 8.20 0.40 3.85 1 NA
NGC1932      5h22m26.0s -66d09m09.0s -6.85 8.10 0.20 4.04 1 NA
NGC1943      5h22m29.5s -70d09m14.9s -7.25 8.35 0.05 4.38 3 NA
NGC1940      5h22m43.0s -67d11m10.0s -6.50 8.00 0.20 3.83 1 NA
HS259        5h22m45.7s -69d50m49.5s -7.18 8.14 0.02 4.20 2 NA
SL434        5h23m25.6s -69d01m18.2s -5.07 8.70 0.20 3.74 2 NA
SL453        5h25m01.9s -69d26m07.4s -7.01 8.50 0.05 4.38 3 NA
SL461        5h25m19.0s -71d48m11.2s -5.05 8.70 0.40 3.73 1 NA
NGC1953      5h25m26.0s -68d50m17.9s -6.87 7.90 0.20 3.93 1 NA
NGC1951      5h26m04.0s -66d35m49.9s -7.82 7.70 0.20 4.18 1 NA
BSDL1657     5h26m05.0s -67d10m57.0s -6.33 8.00 0.20 3.77 1 NA
KMHK898      5h26m24.0s -68d02m48.1s -5.59 9.12 0.03 4.16 2 NA
HS301A       5h26m38.0s -71d58m50.2s -6.46 7.90 0.20 3.76 1 NA
NGC1967      5h26m43.0s -69d06m05.0s -7.62 7.20 0.20 3.78 1 NA
NGC1987      5h27m17.0s -70d44m08.0s -6.76 9.03 0.05 4.65 4 NA
SL482        5h27m17.0s -66d22m07.0s -7.47 7.60 0.20 3.99 1 NA
NGC2000      5h27m29.0s -71d52m48.0s -6.62 8.00 0.20 3.88 1 NA
NGC1984      5h27m40.0s -69d08m03.1s -9.11 7.80 0.20 4.76 1 NA
SL492        5h27m43.0s -68d59m08.2s -7.47 7.70 0.20 4.04 1 NA
SL495        5h28m03.0s -68d48m42.1s -7.59 7.40 0.20 3.89 1 NA
NGC1994      5h28m21.0s -69d08m30.1s -7.02 7.70 0.40 3.86 1 NA
HS314        5h28m26.0s -68d58m55.9s -7.30 7.30 0.40 3.70 1 NA
KMHK945      5h28m27.4s -68d38m59.4s -5.27 9.08 0.25 4.06 2 NA
SL498        5h28m34.0s -67d13m30.0s -7.15 7.45 0.12 3.75 2 KMHK943
HODGE14      5h28m39.3s -73d37m49.0s -5.95 9.26 0.10 4.33 4 NA
NGC1978      5h28m45.0s -66d14m10.0s -7.80 9.30 0.05 5.33 4 NA
HS319        5h28m47.6s -68d59m01.4s -6.02 8.32 0.41 3.86 2 BRHT52a
SL503        5h29m00.2s -68d25m08.0s -5.47 8.56 0.42 3.81 2 KMHK952
SL502        5h29m10.0s -66d35m29.0s -8.37 7.60 0.20 4.35 1 NA
BSDL1938     5h29m19.0s -69d00m20.9s -7.16 7.60 0.20 3.87 1 NA
OGLE-LMC0531 5h30m02.1s -69d31m36.2s -4.24 9.30 0.05 3.91 3 NA
NGC2005      5h30m10.3s -69d45m09.0s -13.12 10.22 0.14 5.49 4 NA
NGC2002      5h30m21.0s -66d53m02.0s -8.57 7.10 0.20 4.05 1 NA
ESO86SC2     5h30m22.0s -65d54m32.0s -7.39 7.50 0.20 3.88 1 NA
BSDL2001     5h30m25.4s -67d13m17.9s -6.74 7.81 0.18 3.82 2 NA
NGC2010      5h30m35.0s -70d49m11.0s -6.78 8.19 0.05 4.07 4 NA
NGC2004      5h30m40.9s -67d17m09.0s -9.62 7.30 0.20 4.43 4 NA
NGC2003      5h30m53.0s -66d27m59.0s -7.78 7.40 0.20 3.97 1 NA
SL539        5h30m55.0s -70d41m42.0s -7.89 7.40 0.20 4.01 1 NA
NGC2009      5h30m58.0s -69d11m03.1s -7.60 7.50 0.20 3.96 1 NA
SL543        5h30m59.0s -71d53m35.9s -6.38 7.90 0.20 3.73 1 NA
KMHK1022     5h31m07.0s -71d57m45.0s -6.68 8.30 0.60 4.11 1 NA
SL538        5h31m17.0s -66d57m28.1s -7.92 7.40 0.20 4.03 1 NA
NGC2006      5h31m19.0s -66d58m22.1s -7.81 7.60 0.20 4.13 1 NA
NGC2019      5h31m56.6s -70d09m33.0s -12.97 10.25 0.08 5.68 4 NA
BSDL2180     5h32m01.0s -66d50m57.1s -5.01 8.70 0.60 3.71 1 NA
HS346        5h32m03.0s -69d22m10.0s -6.11 8.22 0.20 3.82 2 NA
SL558        5h32m11.9s -69d29m41.1s -5.66 8.40 0.10 3.77 3 NA
KMHK1047     5h32m18.0s -68d52m28.0s -6.59 7.74 0.19 3.72 2 NA
BRHT14b      5h32m19.0s -67d31m40.1s -7.25 7.50 0.20 3.82 1 NA
NGC2011      5h32m19.0s -67d31m16.0s -7.66 7.40 0.20 3.92 1 NA
HODGE4       5h32m25.2s -64d44m11.0s -9.29 9.34 0.10 5.39 4 NA
NGC2025      5h32m33.0s -71d43m00.8s -7.36 7.95 0.20 4.15 1 NA
BSDL2300     5h33m19.0s -68d53m32.0s -5.86 9.47 0.03 4.70 2 NA
SL569        5h33m20.4s -68d09m09.9s -5.83 9.08 0.01 4.29 2 KMHK1065
NGC2031      5h33m41.1s -70d59m13.0s -8.98 8.20 0.10 5.13 4 NA
SL582        5h34m28.0s -67d07m28.9s -7.23 7.90 0.20 4.07 1 NA
HS358        5h34m35.0s -66d03m56.2s -6.05 8.30 0.20 3.86 1 NA
KMHK1098     5h34m40.0s -67d30m13.0s -6.95 7.50 0.20 3.70 1 NA
SL588        5h34m40.3s -68d18m18.5s -5.46 8.70 0.10 3.89 2 KMHK110
SL586        5h34m43.0s -66d57m45.0s -7.03 7.60 0.20 3.81 1 NA
HS359        5h34m45.5s -69d23m18.4s -5.98 9.02 0.04 4.33 2 NA
KMHK1112     5h35m16.6s -68d52m13.9s -3.77 9.38 0.11 3.78 2 NA
