Name,n_Name,E_B-V_,R,l_Age,Age,q_Age,Age2,RAJ2000,DEJ2000,Vmag,e_Vmag,SimbadName,Cross-ID
LMC2358,,0.05000000074505806,0.3499999940395355,,8.5,2,nan,80.74166666666666,-65.24249999999999,20.469999313354492,0.14000000059604645,BSDL1420,BSDL1420
LMC2361,,0.05000000074505806,0.2199999988079071,,8.100000381469727,2,nan,80.77083333333333,-67.85055555555554,15.170000076293945,0.11999999731779099,BSDL1460,BSDL1460
LMC2364,,0.05000000074505806,0.4099999964237213,,7.900000095367432,1,nan,80.79999999999998,-66.41722222222221,13.4399995803833,0.11999999731779099,BSDL1456,BSDL1456
LMC2367,,0.05000000074505806,0.4300000071525574,,8.5,1,nan,80.80416666666666,-67.6136111111111,15.319999694824219,0.11999999731779099,[HS66] 260,"HS260,KMHK841"
LMC2373,*,0.05000000074505806,0.5099999904632568,,8.699999809265137,2,nan,80.82916666666665,-71.99999999999999,15.619999885559082,0.11999999731779099,BSDL1519,BSDL1519
LMC2376,*,0.05000000074505806,0.4099999964237213,,7.900000095367432,1,nan,80.83749999999999,-67.98249999999999,14.420000076293945,0.11999999731779099,BSDL1481,BSDL1481
LMC2381,*,0.05000000074505806,0.1899999976158142,,7.800000190734863,3,nan,80.86666666666666,-72.01416666666665,14.229999542236328,0.11999999731779099,BSDL1531,BSDL1531
LMC2384,,0.05000000074505806,0.20000000298023224,,7.900000095367432,2,nan,80.89583333333333,-67.99916666666665,14.319999694824219,0.12999999523162842,BSDL1499,BSDL1499
LMC2391,,0.05000000074505806,0.25999999046325684,,8.399999618530273,2,nan,80.99166666666666,-66.66305555555554,16.059999465942383,0.11999999731779099,BSDL1509,BSDL1509
LMC2392,,0.05000000074505806,0.23999999463558197,,8.100000381469727,1,nan,81.00416666666666,-72.02388888888888,14.850000381469727,0.11999999731779099,BSDL1562,BSDL1562
LMC2399,*,0.05000000074505806,0.20000000298023224,,8.399999618530273,2,nan,81.08749999999999,-65.90472222222222,16.809999465942383,0.11999999731779099,BSDL1525,BSDL1525
LMC2426,,0.10000000149011612,0.3799999952316284,,7.699999809265137,1,nan,81.37916666666666,-66.25999999999999,13.0600004196167,0.10999999940395355,BSDL1593,BSDL1593
LMC2429,,0.10000000149011612,0.23999999463558197,,8.600000381469727,2,nan,81.38749999999999,-66.60499999999999,16.780000686645508,0.11999999731779099,BSDL1600,BSDL1600
LMC2430,,0.05000000074505806,0.20000000298023224,,8.699999809265137,2,nan,81.39166666666665,-69.15583333333332,16.899999618530273,0.12999999523162842,BSDL1629,BSDL1629
LMC2431,,0.05000000074505806,0.2199999988079071,,8.699999809265137,2,nan,81.39166666666665,-66.91305555555554,17.100000381469727,0.11999999731779099,BSDL1603,BSDL1603
LMC2438,*,0.10000000149011612,0.20000000298023224,,8.0,1,nan,81.44583333333333,-66.3025,14.399999618530273,0.10999999940395355,BSDL1610,BSDL1610
LMC2441,*,0.05000000074505806,0.23999999463558197,,7.900000095367432,1,nan,81.47916666666666,-66.29305555555554,14.760000228881836,0.10999999940395355,BSDL1622,BSDL1622
LMC2442,,0.05000000074505806,0.4099999964237213,,8.100000381469727,1,nan,81.48333333333332,-66.18416666666666,13.779999732971191,0.10999999940395355,BSDL1624,BSDL1624
LMC2447,,0.05000000074505806,0.25999999046325684,,8.0,1,nan,81.52499999999999,-67.18249999999999,12.170000076293945,0.11999999731779099,BSDL1657,BSDL1657
LMC2449,,0.05000000074505806,0.1899999976158142,,8.399999618530273,2,nan,81.52916666666665,-67.98833333333333,15.770000457763672,0.11999999731779099,BSDL1668,BSDL1668
LMC2459,*,0.05000000074505806,0.2800000011920929,,7.699999809265137,1,nan,81.59166666666665,-66.38194444444444,14.0,0.10999999940395355,BSDL1671,BSDL1671
LMC2463,*,0.10000000149011612,0.28999999165534973,,8.199999809265137,1,nan,81.60833333333332,-67.62305555555555,15.760000228881836,0.11999999731779099,BSDL1695,BSDL1695
LMC2467,,0.05000000074505806,0.4300000071525574,,8.0,1,nan,81.62499999999999,-66.58194444444443,15.300000190734863,0.11999999731779099,BSDL1691,BSDL1691
LMC2470,,0.05000000074505806,0.25,,8.399999618530273,2,nan,81.66666666666666,-71.8411111111111,15.710000038146973,0.11999999731779099,BSDL1782,BSDL1782
LMC2471,,0.05000000074505806,0.23000000417232513,,7.800000190734863,3,nan,81.67916666666666,-68.96388888888887,13.920000076293945,0.12999999523162842,BSDL1745,BSDL1745
LMC2479,*,0.05000000074505806,0.20000000298023224,,7.900000095367432,3,nan,81.73333333333332,-66.0161111111111,19.65999984741211,0.11999999731779099,BSDL1729,BSDL1729
LMC2486,*,0.019999999552965164,0.1899999976158142,,7.900000095367432,3,nan,81.77499999999999,-67.46,14.149999618530273,0.11999999731779099,BSDL1760,BSDL1760
LMC2488,*,0.019999999552965164,0.25,,7.5,2,nan,81.78333333333332,-67.46527777777777,12.979999542236328,0.11999999731779099,BSDL1764,BSDL1764
LMC2497,*,0.019999999552965164,0.25999999046325684,,7.5,3,nan,81.89166666666665,-70.61333333333333,12.539999961853027,0.14000000059604645,BSDL1830,BSDL1830
LMC2506,*,0.05000000074505806,0.4000000059604645,,8.0,1,nan,81.95833333333333,-68.41388888888888,13.710000038146973,0.12999999523162842,[SL63] 491,"SL491,KMHK928"
LMC2511,*,0.05000000074505806,0.23000000417232513,,8.199999809265137,2,nan,81.98333333333332,-71.51916666666666,15.75,0.11999999731779099,BSDL1876,BSDL1876
LMC2517,*,0.05000000074505806,0.4699999988079071,,7.699999809265137,2,nan,81.99999999999999,-71.83416666666666,13.8100004196167,0.11999999731779099,[HS66] 311,"HS311,KMHK949w"
LMC2518,*,0.05000000074505806,0.4000000059604645,,7.900000095367432,2,nan,81.99999999999999,-71.92944444444443,15.100000381469727,0.11999999731779099,BSDL1887,BSDL1887
LMC2519,*,0.05000000074505806,0.23999999463558197,,8.199999809265137,1,nan,81.99999999999999,-69.01388888888889,14.149999618530273,0.12999999523162842,BSDL1846,BSDL1846
LMC2522,*,0.07000000029802322,0.30000001192092896,,8.199999809265137,2,nan,82.01666666666665,-71.82999999999998,14.050000190734863,0.11999999731779099,KMHK949,KMHK949e
LMC2524,*,0.07000000029802322,0.23000000417232513,,7.699999809265137,2,nan,82.0375,-69.12694444444443,15.9399995803833,0.12999999523162842,BSDL1860,BSDL1860
LMC2526,,0.10000000149011612,0.44999998807907104,,7.699999809265137,1,nan,82.04999999999998,-67.12222222222222,13.6899995803833,0.11999999731779099,KMHK930,KMHK930
LMC2530,,0.07000000029802322,0.30000001192092896,,7.699999809265137,1,nan,82.07083333333333,-67.47055555555555,15.880000114440918,0.11999999731779099,BSDL1854,BSDL1854
LMC2532,,0.05000000074505806,0.30000001192092896,,7.599999904632568,1,nan,82.10833333333332,-68.78277777777777,13.0600004196167,0.11999999731779099,BSDL1879,BSDL1879
LMC2533,,0.10000000149011612,0.23999999463558197,,7.800000190734863,1,nan,82.11666666666666,-68.65027777777777,14.180000305175781,0.11999999731779099,KMHK945,KMHK945
LMC2535,*,0.05000000074505806,0.4399999976158142,,7.5,2,nan,82.12916666666666,-69.13694444444444,12.949999809265137,0.12999999523162842,BSDL1890,BSDL1890
LMC2538,,0.05000000074505806,0.23999999463558197,,7.599999904632568,1,nan,82.20833333333333,-67.45777777777776,12.9399995803833,0.11999999731779099,BSDL1895,BSDL1895
LMC2541,,0.05000000074505806,0.3400000035762787,,8.300000190734863,1,nan,82.225,-69.02749999999999,15.449999809265137,0.12999999523162842,BSDL1910,BSDL1910
LMC2542,,0.05000000074505806,0.3499999940395355,,7.5,2,nan,82.23333333333332,-68.79166666666666,12.369999885559082,0.11999999731779099,KMHK953,KMHK953
LMC2545,,0.10000000149011612,0.36000001430511475,,8.0,1,nan,82.2875,-71.81472222222222,14.3100004196167,0.10999999940395355,KMHK969,KMHK969
LMC2546,*,0.10000000149011612,0.7200000286102295,,7.400000095367432,2,nan,82.29166666666666,-68.74722222222222,11.550000190734863,0.11999999731779099,KMHK955,KMHK955
LMC2547,*,0.10000000149011612,0.28999999165534973,,7.599999904632568,2,nan,82.30416666666666,-68.72777777777777,13.380000114440918,0.11999999731779099,BSDL1929,BSDL1929
LMC2549,,0.10000000149011612,0.3400000035762787,,7.300000190734863,2,nan,82.32916666666665,-67.27027777777776,14.109999656677246,0.10999999940395355,BSDL1921,BSDL1921
LMC2550,,0.05000000074505806,0.30000001192092896,,8.5,2,nan,82.32916666666665,-66.98472222222222,16.40999984741211,0.11999999731779099,BSDL1915,BSDL1915
LMC2551,,0.05000000074505806,0.5199999809265137,,7.599999904632568,1,nan,82.33333333333333,-69.00583333333333,11.34000015258789,0.12999999523162842,BSDL1938,BSDL1938
LMC2554,,0.15000000596046448,0.28999999165534973,,7.199999809265137,3,nan,82.36249999999998,-69.14999999999999,12.100000381469727,0.12999999523162842,BSDL1943,BSDL1943
LMC2555,,0.12999999523162842,0.3400000035762787,,7.599999904632568,2,nan,82.36249999999998,-67.14888888888888,14.539999961853027,0.10999999940395355,BSDL1930,BSDL1930
LMC2556,*,0.10000000149011612,0.36000001430511475,,7.900000095367432,2,nan,82.38749999999999,-69.39055555555555,13.470000267028809,0.15000000596046448,BSDL1951,"BSDL1951,LOGLE524"
LMC2562,*,0.10000000149011612,0.30000001192092896,,7.300000190734863,2,nan,82.4125,-70.98388888888888,13.720000267028809,0.10999999940395355,KMHK979,"KMHK979,GKK-O101"
LMC2566,*,0.05000000074505806,0.699999988079071,>,8.800000190734863,0,nan,82.46666666666665,-72.05277777777776,13.569999694824219,0.11999999731779099,[HS66] 330,"HS330,KMHK996"
LMC2571,*,0.029999999329447746,0.23999999463558197,,7.5,2,nan,82.49583333333332,-66.93194444444444,14.050000190734863,0.10999999940395355,BSDL1958,BSDL1958
LMC2573,*,0.029999999329447746,0.23000000417232513,,7.900000095367432,1,nan,82.51249999999999,-66.93111111111111,14.270000457763672,0.10999999940395355,BSDL1963,BSDL1963
LMC2578,*,0.029999999329447746,0.25,,8.5,3,nan,82.5375,-68.95972222222221,15.850000381469727,0.12999999523162842,BSDL2004,BSDL2004
LMC2580,*,0.05000000074505806,0.25999999046325684,,8.600000381469727,3,nan,82.54999999999998,-68.9386111111111,17.700000762939453,0.12999999523162842,BSDL2011,BSDL2011
LMC2583,*,0.10000000149011612,1.100000023841858,,7.5,1,nan,82.59166666666665,-65.90888888888888,11.109999656677246,0.11999999731779099,KMHK981,"ESO86SC2,KMHK981"
LMC2594,,0.10000000149011612,0.25,,8.199999809265137,2,nan,82.73333333333332,-66.6686111111111,14.859999656677246,0.10999999940395355,BSDL2051,BSDL2051
LMC2595,,0.10000000149011612,0.30000001192092896,,7.699999809265137,2,nan,82.74999999999999,-69.28444444444443,12.890000343322754,0.14000000059604645,KMK88 65,KMK88-65
LMC2596,*,0.15000000596046448,0.23999999463558197,,7.800000190734863,1,nan,82.74999999999999,-69.35277777777777,14.760000228881836,0.15000000596046448,BSDL2104,BSDL2104
LMC2597,*,0.15000000596046448,0.3799999952316284,,8.0,1,nan,82.75416666666666,-69.10222222222221,14.260000228881836,0.12999999523162842,BSDL2097,BSDL2097
LMC2599,,0.029999999329447746,0.550000011920929,,8.399999618530273,1,nan,82.76666666666665,-66.19277777777776,13.800000190734863,0.11999999731779099,BSDL2061,BSDL2061
LMC2602,,0.029999999329447746,0.30000001192092896,,8.600000381469727,2,nan,82.78333333333332,-67.0225,13.90999984741211,0.10999999940395355,BSDL2080,"BSDL2080,GKK-O245"
LMC2605,,0.029999999329447746,0.23000000417232513,,8.199999809265137,1,nan,82.79583333333332,-67.1522222222222,17.040000915527344,0.10000000149011612,BSDL2087,BSDL2087
LMC2608,,0.029999999329447746,0.33000001311302185,,7.900000095367432,2,nan,82.81249999999999,-67.18138888888888,16.649999618530273,0.10000000149011612,BSDL2094,BSDL2094
LMC2610,*,0.029999999329447746,0.28999999165534973,,8.0,1,nan,82.81249999999999,-66.61944444444444,15.050000190734863,0.10999999940395355,BSDL2086,BSDL2086
LMC2613,*,0.15000000596046448,0.44999998807907104,,8.0,1,nan,82.82499999999999,-68.81444444444443,12.949999809265137,0.11999999731779099,KMHK1009,KMHK1009
LMC2614,*,0.05000000074505806,0.2199999988079071,,8.199999809265137,1,nan,82.82916666666665,-67.09555555555555,15.229999542236328,0.10999999940395355,BSDL2103,BSDL2103
LMC2616,*,0.05000000074505806,0.4000000059604645,,8.399999618530273,1,nan,82.84583333333332,-66.60555555555554,16.459999084472656,0.10999999940395355,BSDL2105,BSDL2105
LMC2620,*,0.05000000074505806,0.20000000298023224,,7.300000190734863,1,nan,82.9125,-67.00888888888888,13.649999618530273,0.10999999940395355,BSDL2136,BSDL2136
LMC2622,,0.10000000149011612,0.25999999046325684,,8.199999809265137,2,nan,82.92499999999998,-68.81416666666665,14.75,0.11999999731779099,KMK88 66,KMK88-66
LMC2623,,0.12999999523162842,0.3799999952316284,,7.699999809265137,1,nan,82.93333333333332,-70.80333333333333,13.319999694824219,0.11999999731779099,KMHK1037,KMHK1037
LMC2628,,0.10000000149011612,0.10000000149011612,,7.900000095367432,2,nan,82.97083333333332,-67.20777777777776,15.739999771118164,0.10000000149011612,BSDL2169,BSDL2169
LMC2629,*,0.10000000149011612,0.1899999976158142,,7.900000095367432,1,nan,82.98749999999998,-70.69749999999999,15.180000305175781,0.12999999523162842,BSDL2233,BSDL2233
LMC2631,,0.05000000074505806,0.30000001192092896,,7.800000190734863,1,nan,82.99583333333332,-66.28249999999998,13.819999694824219,0.10999999940395355,KMHK1021,KMHK1021
LMC2632,,0.05000000074505806,0.2800000011920929,,8.699999809265137,3,nan,83.00416666666666,-66.84916666666666,13.489999771118164,0.10999999940395355,BSDL2180,BSDL2180
LMC2634,,0.019999999552965164,0.3400000035762787,,7.400000095367432,3,nan,83.01249999999999,-66.05444444444444,14.010000228881836,0.11999999731779099,BSDL2171,BSDL2171
LMC2643,,0.05000000074505806,0.28999999165534973,,7.800000190734863,1,nan,83.14999999999999,-67.52888888888889,13.649999618530273,0.10999999940395355,KMHK1050,KMHK1050
LMC2644,,0.05000000074505806,0.23999999463558197,,7.900000095367432,3,nan,83.16666666666666,-67.16944444444444,19.780000686645508,0.10999999940395355,BSDL2245,BSDL2245
LMC2651,,0.05000000074505806,0.25,,8.100000381469727,1,nan,83.25833333333333,-68.95055555555555,16.450000762939453,0.12999999523162842,BSDL2276,BSDL2276
LMC2652,,0.25,0.44999998807907104,,7.900000095367432,1,nan,83.27916666666665,-68.75944444444444,13.109999656677246,0.11999999731779099,KMK88 73,"KMK88-73,KMHK1060"
LMC2656,,0.05000000074505806,0.30000001192092896,,7.099999904632568,1,nan,83.32083333333333,-67.52027777777776,12.329999923706055,0.11999999731779099,BSDL2283,BSDL2283
LMC2659,,0.15000000596046448,0.49000000953674316,,7.800000190734863,2,nan,83.33333333333333,-68.82999999999998,12.75,0.11999999731779099,KMK88 74,KMK88-74
LMC2663,,0.10000000149011612,0.30000001192092896,,7.599999904632568,1,nan,83.38749999999999,-67.50027777777777,13.619999885559082,0.11999999731779099,BSDL2302,BSDL2302
LMC2670,,0.10000000149011612,0.4300000071525574,,8.0,2,nan,83.46666666666665,-67.67972222222221,14.569999694824219,0.11999999731779099,KMHK1075,KMHK1075
LMC2673,*,0.10000000149011612,0.23000000417232513,,8.0,1,nan,83.51249999999999,-66.84305555555555,14.869999885559082,0.10999999940395355,BSDL2329,BSDL2329
LMC2674,,0.05000000074505806,0.20000000298023224,,8.199999809265137,1,nan,83.51666666666665,-71.72666666666666,16.100000381469727,0.10999999940395355,BSDL2417,BSDL2417
LMC2675,,0.05000000074505806,0.23000000417232513,,7.099999904632568,3,nan,83.51666666666665,-66.79027777777777,12.619999885559082,0.10999999940395355,BSDL2335,BSDL2335
LMC2677,,0.12999999523162842,0.4099999964237213,,8.0,1,nan,83.5375,-67.52888888888889,15.399999618530273,0.11999999731779099,KMHK1082,KMHK1082
LMC2678,*,0.12999999523162842,0.20000000298023224,,8.199999809265137,1,nan,83.5375,-67.76888888888888,16.389999389648438,0.11999999731779099,BSDL2354,BSDL2354
LMC2683,,0.15000000596046448,0.28999999165534973,,7.5,1,nan,83.56249999999999,-69.0436111111111,11.800000190734863,0.12999999523162842,BSDL2385,BSDL2385
LMC2684,,0.10000000149011612,0.4000000059604645,,8.0,1,nan,83.57083333333333,-67.79694444444443,14.84000015258789,0.10999999940395355,BSDL2368,BSDL2368
LMC2687,,0.05000000074505806,0.2800000011920929,,8.300000190734863,2,nan,83.59583333333332,-65.37888888888888,15.550000190734863,0.14000000059604645,BSDL2350,BSDL2350
LMC2688,,0.20000000298023224,0.28999999165534973,,7.5,1,nan,83.6,-69.10249999999999,12.5,0.12999999523162842,BSDL2402,BSDL2402
LMC2694,,0.05000000074505806,0.25,,7.800000190734863,2,nan,83.63749999999999,-66.02416666666666,14.930000305175781,0.11999999731779099,BSDL2376,BSDL2376
LMC2700,,0.05000000074505806,0.4300000071525574,,7.900000095367432,2,nan,83.67499999999998,-66.64333333333333,13.180000305175781,0.10999999940395355,KMHK1093,KMHK1093
LMC2701,,0.019999999552965164,0.2800000011920929,,7.300000190734863,2,nan,83.67916666666666,-66.35444444444444,13.510000228881836,0.10999999940395355,BSDL2395,BSDL2395
LMC2706,*,0.019999999552965164,0.23000000417232513,,8.600000381469727,1,nan,83.77916666666665,-65.30194444444443,16.059999465942383,0.14000000059604645,BSDL2427,BSDL2427
LMC2707,*,0.019999999552965164,0.25999999046325684,,7.599999904632568,1,nan,83.82499999999999,-66.90916666666666,14.25,0.10999999940395355,BSDL2455,BSDL2455
