instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename
#@string,string,string,string,ra,dec,string,string,string,string,string,string
ACS,WFC,10248,NGC346,14.775750,-72.175333,CLEAR1L,F814W,Nota,380,2004-07-15,clusters/ACS/10248_NGC346/j92fa3vgq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08lzq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m0q_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m2q_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m4q_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m6q_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08m9q_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08mbq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08mcq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08meq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08mgq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08miq_flt.fits
ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08mlq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,3,2004-07-14,clusters/ACS/10248_NGC602/j92f05liq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,430,2004-07-14,clusters/ACS/10248_NGC602/j92f05ljq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,430,2004-07-14,clusters/ACS/10248_NGC602/j92f05lqq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,430,2004-07-14,clusters/ACS/10248_NGC602/j92f05lsq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,430,2004-07-14,clusters/ACS/10248_NGC602/j92f05luq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,430,2004-07-14,clusters/ACS/10248_NGC602/j92f05moq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,2,2004-07-14,clusters/ACS/10248_NGC602/j92f05msq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,453,2004-07-14,clusters/ACS/10248_NGC602/j92f05mtq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,453,2004-07-14,clusters/ACS/10248_NGC602/j92f05mxq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,453,2004-07-14,clusters/ACS/10248_NGC602/j92f05n3q_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,453,2004-07-14,clusters/ACS/10248_NGC602/j92f05n7q_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,453,2004-07-14,clusters/ACS/10248_NGC602/j92f05n9q_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,CLEAR1L,F814W,Nota,2,2004-07-18,clusters/ACS/10248_NGC602/j92fa6qzq_flt.fits
ACS,WFC,10248,NGC602,22.364875,-73.554761,F555W,CLEAR2L,Nota,3,2004-07-18,clusters/ACS/10248_NGC602/j92fa6r7q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,10,2006-01-17,clusters/ACS/10396_KRON-3/j96107fxq_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,10,2006-01-17,clusters/ACS/10396_KRON-3/j96107fzq_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,474,2006-01-17,clusters/ACS/10396_KRON-3/j96107g0q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,474,2006-01-17,clusters/ACS/10396_KRON-3/j96107g2q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,474,2006-01-17,clusters/ACS/10396_KRON-3/j96107g4q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,CLEAR1L,F814W,Gallagher,474,2006-01-17,clusters/ACS/10396_KRON-3/j96107g6q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,F555W,CLEAR2L,Gallagher,20,2006-01-17,clusters/ACS/10396_KRON-3/j96107g9q_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,F555W,CLEAR2L,Gallagher,20,2006-01-17,clusters/ACS/10396_KRON-3/j96107gbq_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,F555W,CLEAR2L,Gallagher,496,2006-01-17,clusters/ACS/10396_KRON-3/j96107gcq_flt.fits
ACS,WFC,10396,KRON-3,6.193333,-72.793611,F555W,CLEAR2L,Gallagher,496,2006-01-17,clusters/ACS/10396_KRON-3/j96107geq_flt.fits
