Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
BSDL1818,81.90833333,-69.14138889,C,0.550000012,0.550000012,0,"mT,in DEML210",BSDL1818
"NGC1986,SL489,ESO56SC134,",81.90833333,-69.96666667,C,2.799999952,2.400000095,140,"& LOGLE496,GKK-O142",NGC 1986
LMC-N145,81.9125,-69.14944444,CN,0.600000024,0.550000012,50,"mT,in DEML210",LMC-N145
"NGC1984,SL488,ESO56SC132",81.91666667,-69.13416667,C,1.5,1.200000048,60,"mT,in DEML210",NGC 1984
"LW215,KMHK919",81.925,-65.2975,C,0.949999988,0.850000024,50,,LW215
"BRHT36b,KMHK922",81.92916667,-66.0125,CA,1.200000048,1,160,"mP,in BSDL1811",BRHT36b
"SL492,ESO56SC133",81.93333333,-68.98555556,C,1,0.850000024,150,"mP,in NGC1983",[SL63] 492
BSDL1792,81.9375,-65.67166667,C,0.300000012,0.25,10,,BSDL1792
"SL484,LW216,KMHK918",81.94166667,-64.64888889,C,1.399999976,1.299999952,40,,[SL63] 484
"HS307,LOGLE497",81.95,-69.89166667,C,1.100000024,0.899999976,110,"mP,in LH59",[HS66] 307
BSDL1797,81.95416667,-66.31694444,CA,0.649999976,0.550000012,20,in Shapley-III,BSDL1797
"SL485,BRHT36a,KMHK923",81.95416667,-66.02166667,C,0.949999988,0.899999976,110,"mP,in BSDL1811",[SL63] 485
BSDL1837,81.9625,-69.22166667,C,0.649999976,0.550000012,100,"mP,in Shapley-II",BSDL1837
BSDL1834,81.96666667,-68.98611111,CA,0.550000012,0.550000012,0,"mP,in NGC1983",BSDL1834
BSDL1875,81.97916667,-71.54472222,CA,0.5,0.400000006,120,in DEML202,BSDL1875
BSDL1817,81.9875,-66.83833333,CA,0.449999988,0.400000006,30,in Shapley-III,BSDL1817
BSDL1848,81.99166667,-69.16416667,C,0.449999988,0.400000006,50,in DEML210,BSDL1848
BSDL1809,81.99166667,-66.18138889,CA,0.400000006,0.300000012,160,"mP,in Shapley-III",BSDL1809
"BSDL1858,LOGLE498",82,-69.93055556,C,1,0.800000012,110,,BSDL1858
"SL495,KMHK933",82.0125,-68.81166667,C,1,0.899999976,10,in Shapley-II,[SL63] 495
"BSDL1861,LOGLE499",82.01666667,-69.76527778,C,0.649999976,0.550000012,150,,BSDL1861
"HS310,LOGLE500",82.02083333,-69.98805556,C,0.949999988,0.949999988,0,mP,[HS66] 310
"KMK88-58,LOGLE501",82.02916667,-70.0025,C,0.550000012,0.5,90,mP,KMK88 58
"BSDL1874,LOGLE502",82.04166667,-69.85805556,C,0.649999976,0.600000024,40,in LH59,BSDL1874
BSDL1898,82.04583333,-71.75777778,CA,0.449999988,0.400000006,40,,BSDL1898
"HS316,LOGLE503",82.06666667,-69.45638889,C,1,0.899999976,150,,[HS66] 316
"HS309,KMHK931",82.07083333,-66.92555556,C,1.100000024,1,170,in Shapley-III,[HS66] 309
KMHK941,82.075,-68.68222222,CA,0.75,0.649999976,40,in DEML203,KMHK941
KMHK936,82.08333333,-67.03861111,CA,0.899999976,0.850000024,100,"in Shapley-III,br*in",KMHK936
"NGC1994,SL499,ESO56SC136",82.0875,-69.14166667,C,1.600000024,1.5,170,"mP,in DEML210",NGC 1994
"SL497,KMHK940",82.09583333,-67.64166667,C,0.899999976,0.850000024,10,in BCDSP4,[SL63] 497
"BSDL1896,LOGLE504",82.10416667,-69.95333333,C,1.200000048,0.949999988,30,mP,BSDL1896
"HS313,KMHK942",82.10416667,-68.20555556,C,0.600000024,0.550000012,130,,[HS66] 313
HS314,82.1125,-68.98222222,C,0.850000024,0.75,20,in DEML210,[HS66] 314
"BSDL1892,LOGLE505",82.1125,-69.76805556,C,0.850000024,0.699999988,50,mP,BSDL1892
