#@string,string,string,string,ra,dec,string,string,string,string,string,string,string
idx,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,s_region
27,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F110W,...,Stephens,299,2012-10-31,ic2o07rmq,multiband/13901_HS357-FIELD/ic2o07rmq_flt.fits,'POLYGON 83.68405483 -68.56793511 83.58094889 -68.56839871 83.58101825 -68.60246859 83.68686984 -68.60198913 83.68405483 -68.56793511 83.68405483 -68.56793511'
28,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F160W,...,Stephens,499,2012-10-31,ic2o07rpq,multiband/13901_HS357-FIELD/ic2o07rpq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
29,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F110W,...,Stephens,299,2012-10-31,ic2o07rrq,multiband/13901_HS357-FIELD/ic2o07rrq_flt.fits,'POLYGON 83.68405483 -68.56793511 83.58094889 -68.56839871 83.58101825 -68.60246859 83.68686984 -68.60198913 83.68405483 -68.56793511 83.68405483 -68.56793511'
30,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F160W,...,Stephens,499,2012-10-31,ic2o07ruq,multiband/13901_HS357-FIELD/ic2o07ruq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
31,WFC3,IR,13901,HS357-FIELD,83.63108299999999,-68.587194,F160W,...,Stephens,599,2012-10-31,ic2o07rwq,multiband/13901_HS357-FIELD/ic2o07rwq_flt.fits,'POLYGON 83.69274231 -68.56235865 83.56844183 -68.56021772 83.57059732 -68.60555586 83.69366635 -68.6081919 83.69274231 -68.56235865 83.69274231 -68.56235865'
32,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03foq,multiband/13901_LH95-FIELD/j9aa03foq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
33,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03ftq,multiband/13901_LH95-FIELD/j9aa03ftq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
34,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03g2q,multiband/13901_LH95-FIELD/j9aa03g2q_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
35,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03g8q,multiband/13901_LH95-FIELD/j9aa03g8q_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
36,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03ghq,multiband/13901_LH95-FIELD/j9aa03ghq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
37,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03gnq,multiband/13901_LH95-FIELD/j9aa03gnq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
38,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03gpq,multiband/13901_LH95-FIELD/j9aa03gpq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
39,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,F555W,CLEAR2L,Gouliermis,625,2006-03-07,j9aa03gvq,multiband/13901_LH95-FIELD/j9aa03gvq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
40,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04gzq,multiband/13901_LH95-FIELD/j9aa04gzq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
41,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04h2q,multiband/13901_LH95-FIELD/j9aa04h2q_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
42,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04h4q,multiband/13901_LH95-FIELD/j9aa04h4q_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
43,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04h8q,multiband/13901_LH95-FIELD/j9aa04h8q_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
44,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04haq,multiband/13901_LH95-FIELD/j9aa04haq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
45,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04heq,multiband/13901_LH95-FIELD/j9aa04heq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
46,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04hgq,multiband/13901_LH95-FIELD/j9aa04hgq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
47,ACS,WFC,13901,LH95-FIELD,84.05833299999999,-66.362083,CLEAR1L,F814W,Gouliermis,625,2006-03-07,j9aa04hkq,multiband/13901_LH95-FIELD/j9aa04hkq_flt.fits,'POLYGON 84.11261061 -66.32990378 83.97121119 -66.33940436 83.98704766 -66.39590364 84.12477605 -66.38521652 84.11261061 -66.32990378 84.11261061 -66.32990378'
48,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F555W,...,Da Rio,155,2013-05-26,ic1t01oiq,multiband/13901_LH95/ic1t01oiq_flt.fits,'POLYGON 84.3116071 -66.32885992 84.17677546 -66.34629879 84.22998944 -66.39827947 84.36298523 -66.38259085 84.3116071 -66.32885992 84.3116071 -66.32885992'
