#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/HRC,F606W,OPTICAL,QSO-005116-721651,J8DX14020,12.82083333333,-72.28091666667,ALCOCK,3,52513.60749,52513.61951,400,GALAXY,,52513.91455,9462,2001909196,POLYGON 12.84031504 -72.28146782 12.82559323 -72.27601083 12.8034606 -72.28042541 12.81803842 -72.28593695 12.84031504 -72.28146782 12.84031504 -72.28146782,http://archive.stsci.edu/hst/previews/J8DX/J8DX14020_256.jpg,2000959453,DADS,2333.09385985301
image,HST,ACS/HRC,f606w,OPTICAL,QSO-005116-721651,HST_9462_14_ACS_HRC_F606W,12.8204417862502,-72.2805990030078,Alcock,3,52513.6075,52513.61951,400,,,52513.91455,9462,2002580016,POLYGON J2000 12.80181510 -72.28007700 12.80185800 -72.28009302 12.80180330 -72.28010400 12.80191484 -72.28014565 12.81647610 -72.28558070 12.81658382 -72.28555907 12.81660560 -72.28556720 12.81666516 -72.28555524 12.81675510 -72.28558880 12.81686282 -72.28556717 12.81688460 -72.28557530 12.83896195 -72.28114087 12.83906980 -72.28111920 12.83902699 -72.28110323 12.83908140 -72.28109230 12.82442646 -72.27562510 12.82440530 -72.27561720 12.82429750 -72.27563886 12.82427590 -72.27563080 12.82421634 -72.27564277 12.82412640 -72.27560920 12.82401877 -72.27563082 12.82399700 -72.27562270 12.80181510 -72.28007700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9462_14_ACS_HRC_F606W&size=ALL&format=jpeg&output_size=256,2001367464,HLA,2334.85714887006
image,HST,ACS/HRC,f814w,OPTICAL,QSO-005116-721651,HST_9462_14_ACS_HRC_F814W,12.8206401363041,-72.2806097592245,Alcock,3,52513.60431,52513.60606,100,,,52513.91174,9462,2002580015,POLYGON J2000 12.80221200 -72.28009860 12.81688440 -72.28557510 12.83906930 -72.28111920 12.82439380 -72.27564440 12.80221200 -72.28009860,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9462_14_ACS_HRC_F814W&size=ALL&format=jpeg&output_size=256,2001367463,HLA,2334.85788055347
image,HST,ACS/WFC,f555w,OPTICAL,NGC346,HST_10248_01_ACS_WFC_F555W,14.8263563473089,-72.1608994187078,Nota,3,53199.73067,53199.81328,1830,,,53564.73069,10248,2002579731,POLYGON J2000 14.81997710 -72.18877920 14.81998687 -72.18873063 14.82118069 -72.18872029 14.82109720 -72.18925090 14.91465010 -72.18863630 14.91465792 -72.18858494 14.91589790 -72.18857650 14.91590145 -72.18855320 14.91711940 -72.18854490 14.91712722 -72.18849351 14.91834460 -72.18848520 14.92691469 -72.13194929 14.92693370 -72.13182350 14.83366940 -72.13244390 14.83366142 -72.13249502 14.83244730 -72.13250280 14.83244361 -72.13252643 14.83122990 -72.13253420 14.83122191 -72.13258528 14.82998500 -72.13259320 14.82995469 -72.13278700 14.74227980 -72.13353320 14.74226989 -72.13358155 14.74105700 -72.13359160 14.74105275 -72.13361236 14.73983990 -72.13362240 14.73983002 -72.13367058 14.73859410 -72.13368080 14.72708540 -72.18963030 14.81750730 -72.18886940 14.81751706 -72.18882091 14.81875610 -72.18881020 14.81876022 -72.18878973 14.81997710 -72.18877920,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_01_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001367179,HLA,2499.87034271065
image,HST,ACS/WFC,f814w,OPTICAL,NGC346,HST_10248_01_ACS_WFC_F814W,14.8263590846099,-72.16089945603,Nota,3,53199.86569,53199.979,1940,,,53564.86571,10248,2002579732,POLYGON J2000 14.81998886 -72.18872904 14.82118201 -72.18871870 14.82109840 -72.18924990 14.91464690 -72.18863510 14.91465475 -72.18858354 14.91589440 -72.18857510 14.91589798 -72.18855160 14.91711570 -72.18854330 14.91712350 -72.18849201 14.91834100 -72.18848370 14.92691312 -72.13195028 14.92693210 -72.13182470 14.83367290 -72.13244540 14.83366490 -72.13249661 14.83245090 -72.13250440 14.83244722 -72.13252792 14.83123330 -72.13253570 14.83122534 -72.13258658 14.82998820 -72.13259450 14.82995786 -72.13278844 14.74228950 -72.13353500 14.74227957 -72.13358345 14.74106700 -72.13359350 14.74106277 -72.13361415 14.73984930 -72.13362420 14.73983946 -72.13367216 14.73860270 -72.13368240 14.72709010 -72.18962930 14.81750870 -72.18886800 14.81751851 -72.18881932 14.81875780 -72.18880860 14.81876194 -72.18878804 14.81997910 -72.18877750 14.81998886 -72.18872904,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_01_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001367180,HLA,2499.87548230939
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JCC217010,16.45486793208,-72.81825601592,KALLIVAYALIL,3,56627.37586,56627.45622,689,UNIDENTIFIED,,56993.71841,13476,2001930226,POLYGON 16.57434215 -72.82204438 16.45365036 -72.77950415 16.31461853 -72.81976914 16.44196793 -72.86244109 16.57434215 -72.82204438 16.57434215 -72.82204438,http://archive.stsci.edu/hst/previews/JCC2/JCC217010_256.jpg,2000980486,DADS,2535.54207919831
image,HST,ACS/WFC,F606W,OPTICAL,ANY,JCC217020,16.45810021003,-72.81884098884,KALLIVAYALIL,3,56627.38233,56627.44962,1452,UNIDENTIFIED,,56993.71534,13476,2001930058,POLYGON 16.57757903 -72.82262756 16.45687526 -72.78008932 16.3178464 -72.8203566 16.44520808 -72.86302646 16.57757903 -72.82262756 16.57757903 -72.82262756,http://archive.stsci.edu/hst/previews/JCC2/JCC217020_256.jpg,2000980318,DADS,2538.86561214881
image,HST,ACS/WFC,f435w,OPTICAL,SMCJ004802-732058,HST_10126_02_ACS_WFC_F435W,11.9848680929406,-73.362175782628,Olszewski,3,53322.85009,53322.8552,440,,,53688.32229,10126,2002408663,POLYGON J2000 11.90899200 -73.34451500 12.06369820 -73.37887440 12.11571230 -73.35555440 11.96111200 -73.32123360 11.90899200 -73.34451500 POLYGON J2000 12.00927730 -73.40336250 12.06387730 -73.37937040 11.90573340 -73.34520720 11.85102100 -73.36915790 12.00927730 -73.40336250,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_02_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2001196111,HLA,2652.82470512935
image,HST,ACS/WFC,f555w,OPTICAL,SMCJ004802-732058,HST_10126_02_ACS_WFC_F555W,11.9848676768975,-73.3621762193081,Olszewski,3,53322.85731,53322.86944,560,,,53687.8624,10126,2002408664,POLYGON J2000 12.06369380 -73.37887390 12.11570750 -73.35555460 11.96111500 -73.32123580 11.90899540 -73.34451650 12.06369380 -73.37887390 POLYGON J2000 12.06387440 -73.37937020 11.90573600 -73.34520780 11.85102380 -73.36915810 12.00927470 -73.40336180 12.06387440 -73.37937020,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_02_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001196112,HLA,2652.82880045281
image,HST,ACS/WFC,f814w,OPTICAL,SMCJ004802-732058,HST_10126_02_ACS_WFC_F814W,11.984865586157,-73.3621770309449,Olszewski,3,53322.87148,53322.88361,560,,,53687.87656,10126,2002408665,POLYGON J2000 12.06368540 -73.37887450 12.11569490 -73.35555620 11.96111490 -73.32123840 11.90899940 -73.34451810 12.06368540 -73.37887450 POLYGON J2000 11.85103130 -73.36915810 12.00927170 -73.40336050 12.06386700 -73.37937020 11.90573900 -73.34520920 11.85103130 -73.36915810,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_02_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001196113,HLA,2652.84220768094
