#@int,string,string,string,string,ra,dec,string,string,string,string,string,string,string,string,string,string,string,float,float,float,string
idx,instrument_x,detector,propid,target,s_ra,s_dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,obs_id,instrument_y,filters,wavelength_region,t_min,t_max,t_exptime,s_region
33,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
34,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
35,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
36,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
37,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
38,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
39,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
40,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
41,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
42,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
43,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
44,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
45,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
46,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
