instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename
#@string,string,string,string,ra,dec,string,string,string,string,string,string,string
ACS,WFC,12581,ANY,84.817675,-69.077568,F475W,CLEAR2L,Roman-Duval,680,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505ksq_flt.fits
ACS,WFC,12581,ANY,84.817675,-69.077568,F475W,CLEAR2L,Roman-Duval,1,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505kwq_flt.fits
ACS,WFC,12581,ANY,84.817675,-69.077568,F475W,CLEAR2L,Roman-Duval,680,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505l7q_flt.fits
ACS,WFC,12581,ANY,84.817675,-69.077568,F475W,CLEAR2L,Roman-Duval,850,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505ldq_flt.fits
ACS,WFC,12581,ANY,84.817675,-69.077568,F475W,CLEAR2L,Roman-Duval,800,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505lkq_flt.fits
ACS,WFC,12581,ANY,84.745802,-69.065216,CLEAR1L,F814W,Roman-Duval,1,2011-12-02,lmc_fields/ACS/12581_ANY/jbp505mgq_flt.fits
ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F814W,Goudfrooij,383,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h3q_flt.fits
ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F435W,Goudfrooij,820,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h6q_flt.fits
ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F435W,Goudfrooij,840,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01haq_flt.fits
ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F814W,Goudfrooij,361,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01heq_flt.fits
ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F814W,Goudfrooij,333,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02iiq_flt.fits
ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F435W,Goudfrooij,795,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ilq_flt.fits
ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F435W,Goudfrooij,815,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ipq_flt.fits
ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F814W,Goudfrooij,413,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02itq_flt.fits
ACS,WFC,13009,ANY,85.929747,-69.117337,F606W,CLEAR2L,De Marchi,130,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31miq_flt.fits
ACS,WFC,13009,ANY,85.929840,-69.117291,CLEAR1L,F814W,De Marchi,347,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31mvq_flt.fits
ACS,WFC,13009,ANY,84.540607,-69.353610,F606W,CLEAR2L,De Marchi,300,2013-09-29,lmc_fields/ACS/13009_ANY/jbyy51t1q_flt.fits
ACS,WFC,13009,ANY,84.540717,-69.353568,CLEAR1L,F814W,De Marchi,347,2013-09-29,lmc_fields/ACS/13009_ANY/jbyy51tbq_flt.fits
ACS,WFC,13011,ANY,77.296735,-69.211403,F555W,CLEAR2L,Puzia,280,2013-11-12,lmc_fields/ACS/13011_ANY/jc1y01kiq_flt.fits
ACS,WFC,13011,ANY,77.296331,-69.212060,F555W,CLEAR2L,Puzia,742,2013-11-12,lmc_fields/ACS/13011_ANY/jc1y01klq_flt.fits
ACS,WFC,13011,ANY,77.296331,-69.212060,CLEAR1L,F814W,Puzia,350,2013-11-12,lmc_fields/ACS/13011_ANY/jc1y01kpq_flt.fits
ACS,WFC,13011,ANY,77.296735,-69.211403,CLEAR1L,F814W,Puzia,339,2013-11-12,lmc_fields/ACS/13011_ANY/jc1y01kxq_flt.fits
ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F814W,Maiz Apellaniz,2,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07osq_flt.fits
ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F814W,Maiz Apellaniz,465,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07ouq_flt.fits
ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F435W,Maiz Apellaniz,1,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07pdq_flt.fits
ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F435W,Maiz Apellaniz,465,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07pfq_flt.fits
WFC3,UVIS,11914,EARTH-CALIB,0.000000,0.000000,...,...,McCullough,250,2011-04-17,lmc_fields/WFC3/11914_EARTH-CALIB/ibca21azq_flt.fits
WFC3,UVIS,11914,EARTH-CALIB,0.000000,0.000000,...,...,McCullough,250,2011-04-17,lmc_fields/WFC3/11914_EARTH-CALIB/ibca21b0q_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,2,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503stq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503suq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503syq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1030,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503t5q_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1215,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503t9q_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1030,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503tfq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1030,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503tnq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1180,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503tsq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,1230,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503tyq_flt.fits
WFC3,UVIS,12581,ANY,85.757886,-69.039386,...,...,Roman-Duval,730,2012-01-25,lmc_fields/WFC3/12581_ANY/ibp503u6q_flt.fits
WFC3,UVIS,12940,LH-117EAST,87.349260,-70.078664,...,...,Massey,1,2012-12-14,lmc_fields/WFC3/12940_LH-117EAST/iby720g1q_flt.fits
WFC3,UVIS,12940,LH-117EAST,87.349260,-70.078664,...,...,Massey,1,2012-12-14,lmc_fields/WFC3/12940_LH-117EAST/iby720g2q_flt.fits
WFC3,UVIS,12940,LH-117NORTH,87.254244,-70.052031,...,...,Massey,1,2012-10-04,lmc_fields/WFC3/12940_LH-117NORTH/iby718z5q_flt.fits
WFC3,UVIS,12940,LH-117NORTH,87.254244,-70.052031,...,...,Massey,1,2012-10-04,lmc_fields/WFC3/12940_LH-117NORTH/iby718z6q_flt.fits
WFC3,UVIS,12940,LH-117SOUTH,87.175767,-70.084678,...,...,Massey,1,2012-11-24,lmc_fields/WFC3/12940_LH-117SOUTH/iby719ioq_flt.fits
WFC3,UVIS,12940,LH-117SOUTH,87.175767,-70.084678,...,...,Massey,1,2012-11-24,lmc_fields/WFC3/12940_LH-117SOUTH/iby719ipq_flt.fits
WFC3,UVIS,13009,HIGH-30DOR-OFF,85.757917,-69.039389,...,...,De Marchi,45,2013-09-23,lmc_fields/WFC3/13009_HIGH-30DOR-OFF/ibyy31mgq_flt.fits
WFC3,UVIS,13009,HIGH-30DOR-OFF,85.757917,-69.039389,...,...,De Marchi,352,2013-09-23,lmc_fields/WFC3/13009_HIGH-30DOR-OFF/ibyy31mhq_flt.fits
WFC3,UVIS,13009,HIGH-30DOR-OFF,85.757917,-69.039389,...,...,De Marchi,600,2013-09-23,lmc_fields/WFC3/13009_HIGH-30DOR-OFF/ibyy31mmq_flt.fits
WFC3,UVIS,13009,HIGH-30DOR-OFF,85.757917,-69.039389,...,...,De Marchi,700,2013-09-23,lmc_fields/WFC3/13009_HIGH-30DOR-OFF/ibyy31moq_flt.fits
WFC3,UVIS,13009,HIGH-30DOR-OFF,85.757917,-69.039389,...,...,De Marchi,882,2013-09-23,lmc_fields/WFC3/13009_HIGH-30DOR-OFF/ibyy31msq_flt.fits
WFC3,UVIS,13282,SNR0548-70.4,86.952083,-70.414811,...,...,Chu,20,2013-09-20,lmc_fields/WFC3/13282_SNR0548-70.4/icco05moq_flt.fits
