#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, s_region, jpegURL, Product Group ID, Object ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_b4_wfpc2_f606w_pc,12.9101599209862,-72.8800187069295,8059,Casertano,3,51322.26751,51322.27122,240,510.890014648438,661.130004882813,,51323.50343,POLYGON J2000 12.92712400 -72.87490000 12.89278900 -72.87501900 12.89318600 -72.88513600 12.92752800 -72.88501500 12.92712400 -72.87490000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_b4_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004436171,2014816264,321.918710017085
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_b4_wfpc2_f814w_pc,12.9101599209862,-72.8800187069295,8059,Casertano,3,51322.2814,51322.28811,500,713.510009765625,867.450012207031,,51323.50617,POLYGON J2000 12.92752800 -72.88501500 12.92712400 -72.87490000 12.89278900 -72.87501900 12.89318600 -72.88513600 12.92752800 -72.88501500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_b4_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004436175,2014816268,321.918710017085
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_uz_wfpc2_f606w_wf,12.8722884464771,-72.9151969349463,8805,Casertano,3,51945.05432,51945.06774,1000,510.890014648438,661.130004882813,,51945.58725,POLYGON J2000 12.83124922 -72.93519892 12.89583466 -72.92994312 12.89876429 -72.92970416 12.90353400 -72.92931500 12.89330492 -72.91846495 12.92211400 -72.91620400 12.91494293 -72.90832396 12.95196100 -72.90548400 12.93296700 -72.88407900 12.86006800 -72.88966600 12.86014234 -72.88974992 12.79411600 -72.89501200 12.81151115 -72.91386135 12.81087500 -72.91391300 12.83096500 -72.93522200 12.83124922 -72.93519892,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_uz_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462614,2014842707,335.147585708104
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_az_wfpc2_f606w_pc,13.1120856490168,-72.7304375201312,8059,Casertano,3,51314.27237,51314.27608,240,510.890014648438,661.130004882813,,51314.70138,POLYGON J2000 13.09758100 -72.73614800 13.13130600 -72.73474400 13.12658100 -72.72472600 13.09286200 -72.72612800 13.09758100 -72.73614800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_az_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004436119,2014816212,342.979200462147
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_az_wfpc2_f814w_pc,13.1120856490168,-72.7304375201312,8059,Casertano,3,51314.28626,51314.29529,700,713.510009765625,867.450012207031,,51314.7069,POLYGON J2000 13.09758100 -72.73614800 13.13130600 -72.73474400 13.12658100 -72.72472600 13.09286200 -72.72612800 13.09758100 -72.73614800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_az_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004436121,2014816214,342.979200462147
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08090_g7_wfpc2_f606w_pc,13.1120856490168,-72.7304375201312,8090,Casertano,3,51314.22307,51314.24899,2100,510.890014648438,661.130004882813,,51314.6995,POLYGON J2000 13.09286200 -72.72612800 13.09758100 -72.73614800 13.13130600 -72.73474400 13.12658100 -72.72472600 13.09286200 -72.72612800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08090_g7_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004440509,2014820602,342.979200462147
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08090_gm_wfpc2_f606w_pc,12.8470407831429,-72.8861640516271,8090,Casertano,3,51315.14459,51315.17214,1400,510.890014648438,661.130004882813,,51315.65519,POLYGON J2000 12.82792700 -72.88174800 12.83204400 -72.89179200 12.86615000 -72.89057700 12.86202800 -72.88053500 12.82792700 -72.88174800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08090_gm_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004440561,2014820654,391.919409766167
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08805_uz_wfpc2_f606w_pc,12.9010382175474,-72.9126255882468,8805,Casertano,3,51945.05432,51945.06774,1000,510.890014648438,661.130004882813,,51945.58725,POLYGON J2000 12.91322400 -72.90643400 12.87997100 -72.90904500 12.88885200 -72.91881400 12.92211400 -72.91620400 12.91322400 -72.90643400,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_uz_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004462613,2014842706,403.183389610222
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_h6_wfpc2_f606w_wf,12.812803964533,-72.7222825045052,8059,Casertano,3,52308.70434,52308.76777,240,510.890014648438,661.130004882813,,52310.36199,POLYGON J2000 12.87689800 -72.69384100 12.80520200 -72.69989200 12.80522200 -72.69991300 12.80528145 -72.69997525 12.74035900 -72.70565800 12.74037900 -72.70567800 12.75894307 -72.72439142 12.75831900 -72.72444700 12.77974900 -72.74562300 12.77977017 -72.74564390 12.78004902 -72.74561906 12.84354897 -72.73995182 12.84642795 -72.73969432 12.85111500 -72.73927500 12.84020325 -72.72849261 12.86853300 -72.72604800 12.86086346 -72.71821557 12.89727100 -72.71514000 12.87691717 -72.69386107 12.87689800 -72.69384100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_h6_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437908,2014818001,480.810498403813
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_h6_wfpc2_f814w_wf,12.8191567823365,-72.7253387676032,8059,Casertano,3,52308.77795,52308.78351,400,713.510009765625,867.450012207031,,52310.1231,POLYGON J2000 12.85109500 -72.73925400 12.84018338 -72.72847173 12.86851300 -72.72602800 12.86084406 -72.71819456 12.89725200 -72.71511900 12.87689800 -72.69384100 12.80520200 -72.69989200 12.80528150 -72.69997524 12.74035900 -72.70565800 12.75894307 -72.72439142 12.75831900 -72.72444700 12.77974900 -72.74562300 12.78002983 -72.74559799 12.84352897 -72.73993082 12.84640795 -72.73967332 12.85109500 -72.73925400,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_h6_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437912,2014818005,480.877061570667
