Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,High-Level Science Products,Ang Sep (')
U3770509R,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:49:13,1999-05-18 19:49:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:21:05,U3770509R,,0.372
U377050AR,NGC121,6.7197327,-71.5299216,3,1999-05-18 19:54:13,1999-05-18 19:54:53,40.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:17:12,U377050AR,,0.372
U377050BM,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:30:13,1999-05-18 20:38:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:17:09,U377050BM,,0.372
U377050CR,NGC121,6.7197327,-71.5299216,3,1999-05-18 20:41:13,1999-05-18 20:49:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 01:06:37,U377050CR,,0.372
U377050DM,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:17:13,1999-05-18 21:25:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:18:28,U377050DM,,0.372
U377050ER,NGC121,6.7197327,-71.5299216,3,1999-05-18 21:28:13,1999-05-18 21:36:33,500.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:15:31,U377050ER,,0.372
U377050FR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:12:13,1999-05-18 22:12:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:16:48,U377050FR,,0.372
U377050GR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:14:13,1999-05-18 22:14:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:20:07,U377050GR,,0.372
U377050HR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:16:13,1999-05-18 22:16:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:14:08,U377050HR,,0.372
U377050IR,NGC121,6.7197327,-71.5299216,3,1999-05-18 22:18:13,1999-05-18 22:18:33,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,6604,2000-05-19 12:17:23,U377050IR,,0.372
U9YV0J03M,NGC121,6.7123809,-71.5333619,2,2007-11-19 04:44:16,2007-11-19 04:44:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:43:14,U9YV0J03M,,0.619
U9YV0J01M,NGC121,6.7119494,-71.5335037,2,2007-11-19 04:32:16,2007-11-19 04:32:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:41:43,U9YV0J01M,,0.630
ICB002WBQ,NGC-121,6.7052789,-71.5356888,2,2014-05-16 20:14:04,2014-05-16 20:15:44,100.000,WFC3  ,UVIS1,F814W,8024.105,13435,2015-05-16 21:26:41,ICB002WBQ,,0.813
ICB001040,NGC-121,6.7047539,-71.5355935,2,2014-10-16 20:24:55,2014-10-16 21:25:32,2122.000,WFC3  ,UVIS2,F336W,3354.874,13435,2015-10-17 02:13:33,ICB001040,,0.815
ICB002040,NGC-121,6.7040560,-71.5357238,2,2014-05-16 19:35:27,2014-05-16 20:36:07,2122.000,WFC3  ,UVIS1,F336W,3354.874,13435,2015-05-17 02:01:20,ICB002040,,0.830
ICB001GEQ,NGC-121,6.7041667,-71.5361111,2,2014-10-16 21:03:29,2014-10-16 21:05:09,100.000,WFC3  ,UVIS2,F814W,8024.105,13435,2015-10-17 02:09:33,ICB001GEQ,,0.846
U27Z6701T,PARALLEL-FIELD,10.0916692,-72.7328884,23,1995-05-04 23:16:17,1995-05-04 23:36:17,1200.000,WFPC2 ,WFALL,F606W,5997.000,5091,1996-05-05 13:15:54,U27Z6701T,,0.483
U27Z6702T,PARALLEL-FIELD,10.0916692,-72.7328884,23,1995-05-05 00:58:17,1995-05-05 01:18:17,1200.000,WFPC2 ,WFALL,F814W,8012.000,5091,1996-05-05 13:20:37,U27Z6702T,,0.483
U27Z6701T,PARALLEL-FIELD,10.0916692,-72.7328884,23,1995-05-04 23:16:17,1995-05-04 23:36:17,1200.000,WFPC2 ,WFALL,F606W,5997.000,5091,1996-05-05 13:15:54,U27Z6701T,,0.373
U27Z6702T,PARALLEL-FIELD,10.0916692,-72.7328884,23,1995-05-05 00:58:17,1995-05-05 01:18:17,1200.000,WFPC2 ,WFALL,F814W,8012.000,5091,1996-05-05 13:20:37,U27Z6702T,,0.373
U6740702R,CSTAR120-2,10.3904083,-73.3747542,2,2001-05-09 20:31:14,2001-05-09 20:34:14,180.000,WFPC2 ,PC1-FIX,F606W,5997.000,8604,2001-11-09 02:36:15,U6740702R,,0.483
U6740703R,CSTAR120-2,10.3904083,-73.3747542,2,2001-05-09 20:38:14,2001-05-09 20:43:14,300.000,WFPC2 ,PC1-FIX,F814W,8012.000,8604,2001-11-09 03:30:37,U6740703R,,0.483
U6740702R,CSTAR120-2,10.3904083,-73.3747542,2,2001-05-09 20:31:14,2001-05-09 20:34:14,180.000,WFPC2 ,PC1-FIX,F606W,5997.000,8604,2001-11-09 02:36:15,U6740702R,,0.372
U6740703R,CSTAR120-2,10.3904083,-73.3747542,2,2001-05-09 20:38:14,2001-05-09 20:43:14,300.000,WFPC2 ,PC1-FIX,F814W,8012.000,8604,2001-11-09 03:30:37,U6740703R,,0.372
U46C0101M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:11:13,1997-08-20 09:16:13,300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:56:23,U46C0101M,,0.483
U46C0102M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:19:13,1997-08-20 09:35:53,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:25:55,U46C0102M,,0.483
U46C0103M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:38:13,1997-08-20 09:59:53,1300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:27:23,U46C0103M,,0.483
U46C0104M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 10:46:13,1997-08-20 11:07:53,1300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:27:06,U46C0104M,,0.483
U46C0105M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 11:10:13,1997-08-20 11:36:53,1600.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:35:54,U46C0105M,,0.483
U46C0106M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:22:13,1997-08-20 12:25:33,200.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:38:14,U46C0106M,,0.483
U46C0107M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:28:13,1997-08-20 12:48:13,1200.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 18:00:25,U46C0107M,,0.483
U46C0108M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:51:13,1997-08-20 13:12:53,1300.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:31:42,U46C0108M,,0.483
U46C0109M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 13:59:13,1997-08-20 14:20:53,1300.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:36:09,U46C0109M,,0.483
U46C010AM,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 14:23:13,1997-08-20 14:49:53,1600.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:42:42,U46C010AM,,0.483
U46C0101M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:11:13,1997-08-20 09:16:13,300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:56:23,U46C0101M,,0.274
U46C0102M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:19:13,1997-08-20 09:35:53,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:25:55,U46C0102M,,0.274
U46C0103M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 09:38:13,1997-08-20 09:59:53,1300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:27:23,U46C0103M,,0.274
U46C0104M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 10:46:13,1997-08-20 11:07:53,1300.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:27:06,U46C0104M,,0.274
U46C0105M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 11:10:13,1997-08-20 11:36:53,1600.000,WFPC2 ,PC1-FIX,F555W,5439.000,6860,1998-08-21 17:35:54,U46C0105M,,0.274
U46C0106M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:22:13,1997-08-20 12:25:33,200.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:38:14,U46C0106M,,0.274
U46C0107M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:28:13,1997-08-20 12:48:13,1200.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 18:00:25,U46C0107M,,0.274
U46C0108M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 12:51:13,1997-08-20 13:12:53,1300.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:31:42,U46C0108M,,0.274
U46C0109M,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 13:59:13,1997-08-20 14:20:53,1300.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:36:09,U46C0109M,,0.274
U46C010AM,SMC-L31,11.6682963,-72.7453361,1,1997-08-20 14:23:13,1997-08-20 14:49:53,1600.000,WFPC2 ,PC1-FIX,F814W,8012.000,6860,1998-08-21 17:42:42,U46C010AM,,0.274
U9K62105M,SMC-DEEP-FIELD2A-ALT,12.5351830,-73.2726863,1,2007-11-16 18:30:17,2007-11-16 18:43:37,800.000,WFPC2 ,WFALL-FIX,F606W,5997.000,10766,2008-11-17 21:07:10,U9K62105M,,0.141
U9K62106M,SMC-DEEP-FIELD2A-ALT,12.5351830,-73.2726863,1,2007-11-16 18:49:17,2007-11-16 19:02:37,800.000,WFPC2 ,WFALL-FIX,F814W,8012.000,10766,2008-11-17 21:07:33,U9K62106M,,0.141
