#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, s_region, jpegURL, Product Group ID, Object ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,LMC-BAR-2,,hst_07382_13_wfpc2_f555w_pc,80.9828859697321,-69.8159843152311,7382,Smecker-Hane,3,50779.55015,50779.58094,2000,472.260009765625,595.099975585938,,51144.64341,POLYGON J2000 80.98793400 -69.82292100 81.00299800 -69.81424700 80.97783600 -69.80904600 80.96277400 -69.81772400 80.98793400 -69.82292100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_13_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004422967,2014803060,217.265388970347
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LMC-BAR-2,,hst_07382_13_wfpc2_f814w_pc,80.9764273873224,-69.8169879054565,7382,Smecker-Hane,3,50779.48696,50779.51751,2000,713.510009765625,867.450012207031,,51144.64356,POLYGON J2000 80.96265100 -69.81816200 80.96302903 -69.81824015 80.98781100 -69.82336000 80.98804393 -69.82322594 80.98842200 -69.82330400 81.00348700 -69.81462900 80.97832400 -69.80942900 80.97809117 -69.80956320 80.97771300 -69.80948500 80.96265100 -69.81816200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_13_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004422969,2014803062,218.578805434071
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f555w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.13144,50109.20528,3700,472.260009765625,595.099975585938,,50475.59486,POLYGON J2000 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700 81.07139800 -69.77951300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004399683,2014779776,225.997646243566
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.20782,50109.29023,3900,713.510009765625,867.450012207031,,50475.61119,POLYGON J2000 81.07124600 -69.76939700 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004399685,2014779778,225.997646243566
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,LMC-BAR-2,,hst_07382_14_wfpc2_f555w_wf,81.0229566651025,-69.8559648576702,7382,Smecker-Hane,3,50778.27446,50778.30524,2000,472.260009765625,595.099975585938,,51143.56918,POLYGON J2000 81.09414900 -69.84547700 81.03871700 -69.83428600 81.02218833 -69.84400079 81.00035700 -69.83949800 80.98818969 -69.84650445 80.96028300 -69.84066900 80.92697100 -69.85958200 80.98193300 -69.87106600 80.98206072 -69.87099358 81.03226500 -69.88125200 81.06120326 -69.86445626 81.06168800 -69.86455400 81.06510421 -69.86254824 81.09414900 -69.84547700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_14_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004422974,2014803067,315.343734085307
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LMC-BAR-2,,hst_07382_14_wfpc2_f814w_wf,81.008511238826,-69.8580067988219,7382,Smecker-Hane,3,50778.20987,50778.24043,2000,713.510009765625,867.450012207031,,51143.56817,POLYGON J2000 81.03920700 -69.83466800 81.03897984 -69.83480159 81.03859600 -69.83472400 81.02229628 -69.84430421 81.00084600 -69.83988100 81.00061329 -69.84001505 81.00023500 -69.83993700 80.98830079 -69.84680848 80.96077100 -69.84105200 80.96053457 -69.84118637 80.96016000 -69.84110800 80.92684700 -69.86002100 80.92722196 -69.86009944 80.98181000 -69.87150400 80.98193645 -69.87143230 81.00296481 -69.87573197 81.03214300 -69.88169100 81.03237402 -69.88155704 81.03275600 -69.88163500 81.06146502 -69.86497244 81.06156700 -69.86499300 81.06179445 -69.86485947 81.06217900 -69.86493700 81.06559529 -69.86293109 81.09464000 -69.84585900 81.03920700 -69.83466800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_14_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004422976,2014803069,316.829222380474
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,LMC-BAR-2,,hst_07382_14_wfpc2_f555w_pc,81.005421433173,-69.8464357635833,7382,Smecker-Hane,3,50778.27446,50778.30524,2000,472.260009765625,595.099975585938,,51143.56918,POLYGON J2000 81.02556100 -69.84469600 81.00035700 -69.83949800 80.98528200 -69.84817800 81.01048500 -69.85337200 81.02556100 -69.84469600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_14_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004422973,2014803066,328.030291210695
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LMC-BAR-2,,hst_07382_14_wfpc2_f814w_pc,80.9989551362181,-69.847440154785,7382,Smecker-Hane,3,50778.20987,50778.24043,2000,713.510009765625,867.450012207031,,51143.56817,POLYGON J2000 81.00023500 -69.83993700 80.98516000 -69.84861600 80.98553889 -69.84869415 81.01036200 -69.85381100 81.01059506 -69.85367693 81.01097400 -69.85375500 81.02605100 -69.84507800 81.00084600 -69.83988100 81.00061329 -69.84001505 81.00023500 -69.83993700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_14_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004422975,2014803068,329.415392432337
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,STAR-0525-6948,,hst_07306_05_wfpc2_f555w_wf,81.2765708343116,-69.806284932594,7306,Cook,3,51249.66334,51249.69413,1620,472.260009765625,595.099975585938,,51616.04811,POLYGON J2000 81.22419577 -69.81271428 81.22380700 -69.81285300 81.26985000 -69.82822000 81.26998767 -69.82817088 81.27027900 -69.82826800 81.27033026 -69.82824971 81.27047040 -69.82819971 81.30997467 -69.81408988 81.31011481 -69.81403978 81.31190169 -69.81340090 81.31482100 -69.81235700 81.29137430 -69.80453317 81.30918300 -69.79828900 81.29234372 -69.79256703 81.31517851 -69.78464978 81.31532200 -69.78460000 81.26994100 -69.76898700 81.26979771 -69.76903672 81.26951400 -69.76893900 81.22425900 -69.78462400 81.22443643 -69.78468512 81.18374500 -69.79906400 81.22419577 -69.81271428,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07306_05_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004421042,2014801135,392.448994826942
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,STAR-0525-6948,,hst_07306_05_wfpc2_f814w_wf,81.2815727742108,-69.8076119550812,7306,Cook,3,51249.59598,51249.61566,1020,713.510009765625,867.450012207031,,51616.04229,POLYGON J2000 81.27018545 -69.82820100 81.27032689 -69.82815053 81.30983251 -69.81404112 81.30997257 -69.81399104 81.31161930 -69.81340231 81.31175703 -69.81335307 81.31467700 -69.81230900 81.29123061 -69.80448527 81.30904000 -69.79824000 81.29220079 -69.79251833 81.31503667 -69.78460103 81.31517800 -69.78455200 81.26979800 -69.76893800 81.26965508 -69.76898759 81.26951400 -69.76893900 81.22425900 -69.78462400 81.22443643 -69.78468512 81.18374500 -69.79906400 81.22419577 -69.81271428 81.22380700 -69.81285300 81.26985000 -69.82822000 81.26998911 -69.82817037 81.27013500 -69.82821900 81.27018545 -69.82820100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07306_05_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004421046,2014801139,392.448994826942
image,HST,WFPC2/WFC,HLA,F439W,OPTICAL,STAR-0525-6948,,hst_07306_05_wfpc2_f439w_wf,81.2711603084765,-69.8048501638914,7306,Cook,3,51249.46404,51249.4895,1600,405.600006103516,452.920013427734,,51615.70197,POLYGON J2000 81.31532200 -69.78460000 81.26994100 -69.76898700 81.22468700 -69.78467200 81.22486406 -69.78473299 81.18417200 -69.79911300 81.22462355 -69.81276236 81.22423500 -69.81290100 81.27027900 -69.82826800 81.27047040 -69.82819971 81.31011481 -69.81403978 81.31190169 -69.81340090 81.31482100 -69.81235700 81.29137430 -69.80453317 81.30918300 -69.79828900 81.29234372 -69.79256703 81.31532200 -69.78460000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07306_05_wfpc2_f439w_wf&size=ALL&format=jpeg&output_size=256,2004421040,2014801133,393.006495142548
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,MACHO-LMC-8,,hst_10832_09_wfpc2_f606w_wf,81.2563767619691,-69.7957089832102,10832,Patten,3,54241.05227,54241.12681,1650,510.890014648438,661.130004882813,,54607.68498,POLYGON J2000 81.28365937 -69.77188280 81.28326200 -69.77186200 81.28322470 -69.77194734 81.22598898 -69.76915742 81.22559200 -69.76913800 81.21769614 -69.78847630 81.21713700 -69.78845000 81.20854000 -69.81036200 81.20873513 -69.81037118 81.20868228 -69.81050906 81.20888044 -69.81051838 81.20908042 -69.81052779 81.20905164 -69.81059808 81.20924868 -69.81060734 81.26574739 -69.81325524 81.26834641 -69.81337660 81.27253300 -69.81357200 81.27691797 -69.80241613 81.30201700 -69.80367400 81.30539951 -69.79559965 81.33758500 -69.79727700 81.33764517 -69.79713951 81.34714800 -69.77540400 81.34694734 -69.77539357 81.34700700 -69.77525700 81.34660818 -69.77523626 81.34663800 -69.77516800 81.28365937 -69.77188280,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10832_09_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004526553,2014906646,415.556599215533
