#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float,float,float,string,float,float,string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance,group,litidx,SimbadName,group1,litidx1,Dataset
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ey_wfpc2_f606w_wf,79.6023159150392,-69.75003981361459,8059,Casertano,3,51906.15154,51906.16219,240.0,510.890014648438,661.1300048828131,,51906.67535,POLYGON J2000 79.63761223 -69.73899590 79.63555700 -69.73773100 79.60721157 -69.74325603 79.59499600 -69.73557900 79.57434061 -69.73952005 79.55884200 -69.72963800 79.50268100 -69.74019700 79.53321600 -69.75965200 79.53343025 -69.75961178 79.56165700 -69.77718400 79.61097682 -69.76769559 79.61125100 -69.76786400 79.66692100 -69.75701500 79.66678564 -69.75693186 79.63886890 -69.73976923 79.63761223 -69.73899590,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ey_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437212,2014817305,1528.29449997798,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ey_wfpc2_f814w_wf,79.6023159150392,-69.75003981361459,8059,Casertano,3,51906.17237,51906.17793,400.0,713.510009765625,867.4500122070309,,51906.69032,POLYGON J2000 79.56165700 -69.77718400 79.61097682 -69.76769559 79.61125100 -69.76786400 79.66692100 -69.75701500 79.66678564 -69.75693186 79.63886890 -69.73976923 79.63761223 -69.73899590 79.63555700 -69.73773100 79.60721157 -69.74325603 79.59499600 -69.73557900 79.57434061 -69.73952005 79.55884200 -69.72963800 79.50268100 -69.74019700 79.53321600 -69.75965200 79.53343025 -69.75961178 79.56165700 -69.77718400,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ey_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437214,2014817307,1528.29449997798,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_sf_wfpc2_f606w_wf,79.5940602614222,-69.74512367333661,8805,Casertano,3,51910.09598,51910.12284,2000.0,510.890014648438,661.1300048828131,,51910.58613,POLYGON J2000 79.58970200 -69.73052000 79.56830263 -69.73394831 79.55485600 -69.72371300 79.49670000 -69.73287700 79.52319400 -69.75302800 79.52341646 -69.75299301 79.54799100 -69.77121000 79.59910550 -69.76294706 79.59934500 -69.76312200 79.65707000 -69.75365700 79.65695130 -69.75357031 79.63260273 -69.73577005 79.63150648 -69.73496784 79.62971400 -69.73365600 79.60032313 -69.73847618 79.58970200 -69.73052000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_sf_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462214,2014842307,1540.70942804425,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_sj_wfpc2_f606w_wf,79.5939294434724,-69.7450389818762,8805,Casertano,3,51910.16334,51910.18325,1400.0,510.890014648438,661.1300048828131,,51910.5899,POLYGON J2000 79.54777100 -69.77110600 79.59891422 -69.76286405 79.59915300 -69.76303900 79.65690900 -69.75359800 79.65679074 -69.75351135 79.63250412 -69.73570105 79.63141136 -69.73489890 79.62962300 -69.73358600 79.60021489 -69.73839412 79.58962200 -69.73043400 79.56821075 -69.73385340 79.55479900 -69.72361200 79.49661200 -69.73275200 79.52303600 -69.75291400 79.52325814 -69.75287917 79.54777100 -69.77110600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_sj_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462222,2014842315,1540.9133701171802,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_f2_wfpc2_f606w_wf,79.6010812266502,-69.74337498412329,8059,Casertano,3,51910.23071,51910.2476,240.0,510.890014648438,661.1300048828131,,51910.59678,POLYGON J2000 79.49647832 -69.73256248 79.49647500 -69.73256300 79.52279400 -69.75274200 79.52279800 -69.75274100 79.54465025 -69.74932923 79.52301640 -69.75270729 79.54743400 -69.77094900 79.59862014 -69.76273966 79.59885700 -69.76291400 79.59886100 -69.76291400 79.65666600 -69.75350900 79.65654945 -69.75342321 79.65654577 -69.75342345 79.65654906 -69.75342292 79.63235516 -69.73559760 79.63235347 -69.73559635 79.63126583 -69.73479423 79.63126418 -69.73479301 79.62948400 -69.73348000 79.62948000 -69.73348000 79.60005175 -69.73826951 79.58950000 -69.73030300 79.56807099 -69.73370868 79.55471300 -69.72345900 79.49647832 -69.73256248,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_f2_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004437256,2014817349,1541.22123626138,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_f2_wfpc2_f814w_wf,79.59373165671471,-69.7449105577361,8059,Casertano,3,51910.25779,51910.26334,400.0,713.510009765625,867.4500122070309,,51910.60105,POLYGON J2000 79.63126418 -69.73479301 79.62948400 -69.73348000 79.60005190 -69.73826963 79.58950000 -69.73030300 79.56807099 -69.73370868 79.55471300 -69.72345900 79.49647900 -69.73256300 79.52279800 -69.75274100 79.52302040 -69.75270630 79.54743800 -69.77094800 79.59862304 -69.76273884 79.59886100 -69.76291400 79.65666600 -69.75350900 79.65654906 -69.75342292 79.63235516 -69.73559760 79.63126418 -69.73479301,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_f2_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004437260,2014817353,1541.22123626138,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08883_fk_wfpc2_f606w_pc,79.6029139999814,-69.7508638762547,8883,Casertano,3,51899.46265,51899.46844,500.0,510.890014648438,661.1300048828131,,51899.93053,POLYGON J2000 79.59957500 -69.75792200 79.62331200 -69.75202200 79.60625500 -69.74380400 79.58251700 -69.74970600 79.59957500 -69.75792200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08883_fk_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004463849,2014843942,1582.8652546980304,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f606w_pc,79.60075499496179,-69.7496807895244,8059,Casertano,3,51900.40362,51900.40941,240.0,510.890014648438,661.1300048828131,,51900.7551,POLYGON J2000 79.59706400 -69.75671700 79.62109100 -69.75096100 79.60444900 -69.74264200 79.58042000 -69.74840100 79.59706400 -69.75671700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004437189,2014817282,1585.71188377048,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_ew_wfpc2_f814w_pc,79.60075499496179,-69.7496807895244,8059,Casertano,3,51900.41959,51900.42515,400.0,713.510009765625,867.4500122070309,,51900.74565,POLYGON J2000 79.62109100 -69.75096100 79.60444900 -69.74264200 79.58042000 -69.74840100 79.59706400 -69.75671700 79.62109100 -69.75096100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ew_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004437191,2014817284,1585.71188377048,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_ex_wfpc2_f606w_pc,79.59443585751809,-69.7459260617972,8059,Casertano,3,51903.41473,51903.42052,240.0,510.890014648438,661.1300048828131,,51904.01962,POLYGON J2000 79.58965900 -69.75288400 79.61454000 -69.74758300 79.59921400 -69.73896600 79.57433200 -69.74427100 79.58965900 -69.75288400,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_ex_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004437199,2014817292,1594.18788279948,17.0,1928.0,BSDL1191,4.0,882.0,u6anfk01r
