#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
40,11.2943333333333,-73.2215472222222,H86-74;SMC_OGLE25,image,3,HST,HST_9488_bw_ACS_WFC_F475W,HIGH-GALACTIC-LATITUDE,11.2776266058422,-73.2173511821564,52926.96437,52926.9952,1567,OPTICAL,F475W,,,52927.93752,ACS/WFC,Ratnatunga,9488,2013667274,POLYGON J2000 11.37391680 -73.22317100 11.18149630 -73.21175380 11.16808960 -73.24011260 11.36081780 -73.25154210 11.37391680 -73.22317100 POLYGON J2000 11.38492020 -73.19529170 11.19558250 -73.18328670 11.18338900 -73.21072910 11.37301910 -73.22274520 11.38492020 -73.19529170,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_bw_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2004270776,HLA,0
197,18.7223333333333,-71.549625,NGC458;K69;L96;ESO51SC26,image,3,HST,hst_05475_0a_wfpc2_f555w_wf,NGC458,18.6937043622269,-71.5537844234801,49386.16964,49386.1701,40,OPTICAL,F555W,,,49873.76281,WFPC2/WFC,SHARA,5475,2013474538,POLYGON J2000 18.67066050 -71.52914480 18.61248700 -71.53721900 18.63726878 -71.55510543 18.63671000 -71.55518400 18.66511600 -71.57538500 18.66537687 -71.57534832 18.72223198 -71.56734284 18.72480025 -71.56698066 18.72899500 -71.56638900 18.71453052 -71.55610341 18.73993000 -71.55261500 18.72966206 -71.54513241 18.76232900 -71.54071500 18.73488500 -71.52037100 18.67055300 -71.52906500 18.67066050 -71.52914480,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05475_0a_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004078040,HLA,0
43,11.41475,-72.8619916666667,B36,image,3,HST,hst_08654_06_wfpc2_f814w_wf,98-SMC-1,11.4261381103134,-72.8785338782975,51712.02169,51712.03465,940,OPTICAL,F814W,,,52077.81787,WFPC2/WFC,BENNETT,8654,2013543866,POLYGON J2000 11.39486450 -72.89335562 11.45467600 -72.90098000 11.47172538 -72.88938787 11.48454300 -72.88066200 11.48427866 -72.88062835 11.51078700 -72.86210000 11.44967375 -72.85451759 11.44992800 -72.85433700 11.38057900 -72.84586100 11.35177000 -72.86630000 11.38707440 -72.87062086 11.37541800 -72.87867800 11.40092269 -72.88187488 11.38574500 -72.89219100 11.39202534 -72.89299310 11.39486450 -72.89335562,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08654_06_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004147368,HLA,0
43,11.41475,-72.8619916666667,B36,image,3,HST,hst_08654_06_wfpc2_f555w_wf,98-SMC-1,11.4149777934837,-72.8768414310719,51711.96405,51711.98049,640,OPTICAL,F555W,,,52077.63662,WFPC2/WFC,BENNETT,8654,2013543864,POLYGON J2000 11.38707440 -72.87062086 11.37541800 -72.87867800 11.37563450 -72.87870516 11.37585092 -72.87873230 11.40092269 -72.88187488 11.38574500 -72.89219100 11.38595945 -72.89221839 11.38617743 -72.89224624 11.39202534 -72.89299310 11.39224414 -72.89302104 11.39245908 -72.89304848 11.39486450 -72.89335562 11.45467600 -72.90098000 11.45477153 -72.90091509 11.45512113 -72.90095958 11.45520300 -72.90097000 11.45539038 -72.90084269 11.45560500 -72.90087000 11.46223181 -72.89636594 11.47271730 -72.88923410 11.48547100 -72.88055100 11.48520760 -72.88051747 11.51153009 -72.86211701 11.51171300 -72.86198900 11.45060004 -72.85440740 11.45067509 -72.85435409 11.45085400 -72.85422700 11.38150600 -72.84575100 11.38141666 -72.84581446 11.38098000 -72.84576100 11.38088896 -72.84582567 11.38080096 -72.84588818 11.38057900 -72.84586100 11.35177000 -72.86630000 11.35199121 -72.86632710 11.35220764 -72.86635361 11.38707440 -72.87062086,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08654_06_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004147366,HLA,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,JCNL10010,SMC-F08-WFC,11.58309418813,-73.28564712404,57114.78095,57114.81307,1860,OPTICAL,F814W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57480.92078,ACS/WFC,SANDSTROM,13659,2014142182,POLYGON 11.67247408 -73.25314218 11.47517735 -73.25399679 11.49308037 -73.30994624 11.68641712 -73.31054874 11.67247408 -73.25314218 11.67247408 -73.25314218,http://archive.stsci.edu/hst/previews/JCNL/JCNL10010_256.jpg,2004306159,DADS,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,JCNL10040,SMC-F08-WFC,11.58325359962,-73.28567451379,57114.9231,57115.00589,2067,OPTICAL,F475W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57481.16938,ACS/WFC,SANDSTROM,13659,2014142185,POLYGON 11.67263296 -73.2531694 11.47533593 -73.25402422 11.4932397 -73.30997365 11.68657677 -73.31057595 11.67263296 -73.2531694 11.67263296 -73.2531694,http://archive.stsci.edu/hst/previews/JCNL/JCNL10040_256.jpg,2004306162,DADS,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,JCNL16010,SMC-F02-WFC,11.51799137958,-73.26528610519,57120.93414,57121.03446,1860,OPTICAL,F814W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57487.12862,ACS/WFC,SANDSTROM,13659,2014142194,POLYGON 11.61671949 -73.23513571 11.42014146 -73.23106027 11.42109308 -73.28724557 11.61328817 -73.29267374 11.61671949 -73.23513571 11.61671949 -73.23513571,http://archive.stsci.edu/hst/previews/JCNL/JCNL16010_256.jpg,2004306171,DADS,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,JCNL16040,SMC-F02-WFC,11.51814174201,-73.26531737338,57121.19324,57121.27139,2067,OPTICAL,F475W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57487.63192,ACS/WFC,SANDSTROM,13659,2014142197,POLYGON 11.61686976 -73.2351669 11.42029134 -73.2310916 11.42124345 -73.2872769 11.61343894 -73.29270493 11.61686976 -73.2351669 11.61686976 -73.2351669,http://archive.stsci.edu/hst/previews/JCNL/JCNL16040_256.jpg,2004306174,DADS,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,ICNL13070,SMC-F02-UVIS,11.50843744002,-73.25884580738,57314.39081,57314.42045,2250,UV,F225W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57680.60616,WFC3/UVIS,SANDSTROM,13659,2014250057,POLYGON 11.6158516 -73.2612264 11.51689045 -73.22581246 11.40109885 -73.25643766 11.49743986 -73.29182085 11.6158516 -73.2612264 11.6158516 -73.2612264,http://archive.stsci.edu/hst/previews/ICNL/ICNL13070_256.jpg,2004351832,DADS,0
46,11.520625,-73.2774444444444,BS32,image,3,HST,ICNL13060,SMC-F02-UVIS,11.50843744002,-73.25884580738,57314.32802,57314.38896,1600,UV,F275W,GALAXY;MAGELLANIC IRREGULAR;STAR FORMING REGION,A New View of Dust at Low Metallicity: The First Maps of SMC Extinction Curves,57680.56811,WFC3/UVIS,SANDSTROM,13659,2014250056,POLYGON 11.61585161 -73.26122635 11.51689026 -73.22581246 11.40109883 -73.25643771 11.49744003 -73.29182085 11.61585161 -73.26122635 11.61585161 -73.26122635,http://archive.stsci.edu/hst/previews/ICNL/ICNL13060_256.jpg,2004351831,DADS,0
