#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,hst_12940_21_wfc3_uvis_total,SMC-ASS-45,14.7667493025121,-72.1706807528472,56202.15191,56202.15354,2,,DETECTION,,,56202.24808,WFC3/UVIS,Massey,12940,2014100905,POLYGON J2000 14.78566240 -72.21180960 14.83106270 -72.19420530 14.83093996 -72.19417133 14.83194536 -72.19378098 14.83242140 -72.19391100 14.87821060 -72.17606820 14.87808891 -72.17603498 14.87943260 -72.17551070 14.76923429 -72.14534959 14.76911300 -72.14531630 14.72329470 -72.16313370 14.72341598 -72.16316700 14.72206880 -72.16369020 14.72225309 -72.16374080 14.67776010 -72.18095820 14.67788243 -72.18099225 14.67653320 -72.18151370 14.78566240 -72.21180960,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12940_21_wfc3_uvis_total&size=ALL&format=jpeg&output_size=256,2004296881,HLA,0
36,10.891,-73.4420416666667,NGC241;K22w;L29W;,image,3,HST,JCC206010,ANY,10.91139647257,-73.45359689006,56566.31053,56566.35436,440,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56931.55102,ACS/WFC,KALLIVAYALIL,13476,2012947760,POLYGON 10.97103119 -73.46539915 10.95004957 -73.43839457 10.85178279 -73.44198388 10.87131825 -73.46934876 10.97103119 -73.46539915 10.97103119 -73.46539915,http://archive.stsci.edu/hst/previews/JCC2/JCC206010_256.jpg,2003882396,DADS,0
36,10.891,-73.4420416666667,NGC241;K22w;L29W;,image,3,HST,JCC206020,ANY,10.91494640001,-73.45311550907,56566.31618,56566.34875,1200,OPTICAL,F606W,PARALLEL FIELD;UNIDENTIFIED,Proper Motion and Internal Kinematics of the SMC: are the Magellanic Clouds bound to one another?,56931.5519,ACS/WFC,KALLIVAYALIL,13476,2012947761,POLYGON 10.974582 -73.46491679 10.9535953 -73.43791256 10.85533205 -73.44150354 10.87487271 -73.46886809 10.974582 -73.46491679 10.974582 -73.46491679,http://archive.stsci.edu/hst/previews/JCC2/JCC206020_256.jpg,2003882397,DADS,0
185,17.7002916666667,-72.7933055555555,K63;L88,image,3,HST,ICPHCFJ3Q,ANY,17.67287861184,-72.80002930781,57271.39041,57271.39854,702.938171,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,Bright Galaxies at Hubble's Detection Frontier: The redshift z~9-10 BoRG pure-parallel survey,57271.62441,WFC3/IR,TRENTI,13767,2014235000,POLYGON   17.62333568 -72.77953400  17.74740876 -72.78794166  17.72372075 -72.82127773  17.59628841 -72.81265340  17.62333568 -72.77953400,http://archive.stsci.edu/hst/previews/ICPH/ICPHCFJ3Q_256.jpg,2004344453,DADS,0
185,17.7002916666667,-72.7933055555555,K63;L88,image,3,HST,ICPHCGJEQ,ANY,17.67287861184,-72.80002930781,57271.45543,57271.46472,802.934753,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,Bright Galaxies at Hubble's Detection Frontier: The redshift z~9-10 BoRG pure-parallel survey,57271.62587,WFC3/IR,TRENTI,13767,2014235004,POLYGON   17.62333568 -72.77953400  17.74740876 -72.78794166  17.72372075 -72.82127773  17.59628841 -72.81265340  17.62333568 -72.77953400,http://archive.stsci.edu/hst/previews/ICPH/ICPHCGJEQ_256.jpg,2004344457,DADS,0
185,17.7002916666667,-72.7933055555555,K63;L88,image,3,HST,ICPHCHJOQ,ANY,17.67287861184,-72.80002930781,57271.52044,57271.53089,902.935059,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,Bright Galaxies at Hubble's Detection Frontier: The redshift z~9-10 BoRG pure-parallel survey,57271.76616,WFC3/IR,TRENTI,13767,2014235008,POLYGON   17.62333568 -72.77953400  17.74740876 -72.78794166  17.72372075 -72.82127773  17.59628841 -72.81265340  17.62333568 -72.77953400,http://archive.stsci.edu/hst/previews/ICPH/ICPHCHJOQ_256.jpg,2004344461,DADS,0
185,17.7002916666667,-72.7933055555555,K63;L88,image,3,HST,ICPHCIJYQ,ANY,17.67287861184,-72.80002930781,57271.58663,57271.59708,902.935059,INFRARED,F160W,PARALLEL FIELD;UNIDENTIFIED,Bright Galaxies at Hubble's Detection Frontier: The redshift z~9-10 BoRG pure-parallel survey,57271.7678,WFC3/IR,TRENTI,13767,2014235012,POLYGON   17.62333568 -72.77953400  17.74740876 -72.78794166  17.72372075 -72.82127773  17.59628841 -72.81265340  17.62333568 -72.77953400,http://archive.stsci.edu/hst/previews/ICPH/ICPHCIJYQ_256.jpg,2004344465,DADS,0
24,10.139125,-72.74005,K16;L23,image,3,HST,hst_05091_67_wfpc2_f606w_wf,PARALLEL-FIELD,10.1029833114001,-72.7381201297799,49841.96964,49841.98353,1200,OPTICAL,F606W,,,50208.55271,WFPC2/WFC,GROTH,5091,2013465976,POLYGON J2000 10.15936100 -72.73366600 10.15907371 -72.73366414 10.15992400 -72.71356100 10.09413323 -72.71331680 10.09413800 -72.71312100 10.01964500 -72.71296300 10.01910500 -72.73509200 10.05703627 -72.73517792 10.05654800 -72.74393500 10.08403947 -72.74406698 10.08319000 -72.75530700 10.08999540 -72.75535326 10.09310594 -72.75537433 10.15769600 -72.75580100 10.15870244 -72.74242765 10.15936100 -72.73366600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05091_67_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004069478,HLA,0
24,10.139125,-72.74005,K16;L23,image,3,HST,hst_05091_67_wfpc2_f814w_wf,PARALLEL-FIELD,10.1029833114001,-72.7381201297799,49842.04047,49842.05436,1200,OPTICAL,F814W,,,50208.55598,WFPC2/WFC,GROTH,5091,2013465978,POLYGON J2000 10.05654800 -72.74393500 10.08403947 -72.74406698 10.08319000 -72.75530700 10.08999540 -72.75535326 10.09310594 -72.75537433 10.15769600 -72.75580100 10.15870244 -72.74242765 10.15936100 -72.73366600 10.15907371 -72.73366414 10.15992400 -72.71356100 10.09413323 -72.71331680 10.09413800 -72.71312100 10.01964500 -72.71296300 10.01910500 -72.73509200 10.05703627 -72.73517792 10.05654800 -72.74393500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05091_67_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004069480,HLA,0
24,10.139125,-72.74005,K16;L23,image,3,HST,hst_05091_67_wfpc2_total_wf,PARALLEL-FIELD,10.1029833114001,-72.7381201297799,49841.96964,49841.98353,1200,,DETECTION,,,50208.55271,WFPC2/WFC,GROTH,5091,2013465980,POLYGON J2000 10.15907371 -72.73366414 10.15992400 -72.71356100 10.09413323 -72.71331680 10.09413800 -72.71312100 10.01964500 -72.71296300 10.01910500 -72.73509200 10.05703627 -72.73517792 10.05654800 -72.74393500 10.08403947 -72.74406698 10.08319000 -72.75530700 10.08999540 -72.75535326 10.09310594 -72.75537433 10.15769600 -72.75580100 10.15870244 -72.74242765 10.15936100 -72.73366600 10.15907371 -72.73366414,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05091_67_wfpc2_total_wf&size=ALL&format=jpeg&output_size=256,2004069482,HLA,0
